"learner","config","cell","bias","normalized_index_rmse","index_correlation","oracle_log_score_fraction","dispersion"
"ranger","ranger_node20_mtrysqrt","continuous_negbin_tlog1p5",-0.0229193098997644,0.520159234736862,0.879760821027406,-0.420519921507079,8.59476103283327
"ranger","ranger_node5_mtryall","continuous_negbin_tlog1p5",-0.0052898010719929,0.502863161811501,0.874435492566903,-3.09330599938143,275.431212722547
"ranger","ranger_node5_mtrysqrt","continuous_negbin_tlog1p5",-0.012569118930772,0.51503339342589,0.87620102258163,-3.90512768970319,223.714250602175
"xgboost","xgb_d2_c20_r200","continuous_negbin_tlog1p5",-0.031050409409111,0.480069791658838,0.921142379361719,0.586603098227173,2.36575145215185
"xgboost","xgb_d2_c20_r500","continuous_negbin_tlog1p5",-0.0114421055478475,0.361304873930464,0.933883973846277,0.238371607314692,4.41654713061185
"xgboost","xgb_d2_c5_r200","continuous_negbin_tlog1p5",-0.0308791291244718,0.481922801500848,0.920823423669994,0.511628523617817,2.37798287440249
"xgboost","xgb_d2_c5_r500","continuous_negbin_tlog1p5",-0.0110093419983816,0.361910264550041,0.933633718885313,0.223845775673293,4.54065000662647
"xgboost","xgb_d3_c20_r200","continuous_negbin_tlog1p5",-0.0167168464842966,0.437198626639486,0.919395522097966,0.104914550954143,3.64097194258576
"xgboost","xgb_d3_c20_r500","continuous_negbin_tlog1p5",0.0147591339423238,0.419387288165753,0.910015949773635,-3.18198794046883,302.929648417554
"xgboost","xgb_d3_c5_r200","continuous_negbin_tlog1p5",-0.0156304413499965,0.440669335472649,0.918491200984596,-0.0662213295050572,3.7745637333909
"xgboost","xgb_d3_c5_r500","continuous_negbin_tlog1p5",0.019816199507368,0.422450169875344,0.908781305843005,-3.8456022925198,424.219144045651
"ranger","ranger_node20_mtryall","continuous_negbin_tlog2",-0.0209234658101264,0.419384173151862,0.914404624333584,-0.0583849288747251,6.50586288237157
"ranger","ranger_node20_mtrysqrt","continuous_negbin_tlog2",-0.0513073137893607,0.509055219585611,0.896506341553474,-0.154565874528926,5.04912402165242
"ranger","ranger_node5_mtryall","continuous_negbin_tlog2",-0.0230909918731585,0.428197077056324,0.910573765709037,-2.8754796591316,41.979997344534
"ranger","ranger_node5_mtrysqrt","continuous_negbin_tlog2",-0.0343207434321233,0.489762888758152,0.898887661151899,-3.30513635371929,32.6646149021065
"xgboost","xgb_d2_c20_r200","continuous_negbin_tlog2",-0.0616866415826039,0.486834188585879,0.932846615434869,0.407698904119927,2.03413817923061
"xgboost","xgb_d2_c20_r500","continuous_negbin_tlog2",-0.0146206665526212,0.306150564088321,0.956095300269609,0.451737477284297,3.54583321123445
"xgboost","xgb_d2_c5_r200","continuous_negbin_tlog2",-0.0618503912832352,0.487124814039658,0.933025679320623,0.407940235689997,2.03835895963222
"xgboost","xgb_d2_c5_r500","continuous_negbin_tlog2",-0.0146783873234494,0.305773451944167,0.956298347588712,0.449539415182215,3.58199928835298
"xgboost","xgb_d3_c20_r200","continuous_negbin_tlog2",-0.0370436004186169,0.423031518485504,0.939394461403886,0.228349120420399,2.84503559556027
"xgboost","xgb_d3_c20_r500","continuous_negbin_tlog2",0.0151631056848951,0.334146768486162,0.943877398710241,-0.735540869005887,11.0017935309523
"xgboost","xgb_d3_c5_r200","continuous_negbin_tlog2",-0.0368537330879143,0.424621409360743,0.939118079956796,0.151450220817025,2.88542878168741
"xgboost","xgb_d3_c5_r500","continuous_negbin_tlog2",0.0174476300193473,0.334933401306768,0.943537139438955,-1.08856010158171,12.009307751098
"ranger","ranger_node20_mtryall","continuous_poisson_tlog1p5",0.0427859762027464,0.405533387260896,0.918017879873846,0.762319046246862,Inf
"ranger","ranger_node20_mtrysqrt","continuous_poisson_tlog1p5",0.0215231619347467,0.466892588609986,0.913770464239345,0.727452321456797,Inf
"ranger","ranger_node5_mtryall","continuous_poisson_tlog1p5",0.0400609808725221,0.410532282766122,0.915784592206548,0.792451490134178,Inf
"ranger","ranger_node5_mtrysqrt","continuous_poisson_tlog1p5",0.0230054440638477,0.44933072360554,0.914162579953227,0.748632296844571,Inf
"xgboost","xgb_d2_c20_r200","continuous_poisson_tlog1p5",0.0318856547097103,0.459294101209027,0.943263049279736,0.769878225519099,Inf
"xgboost","xgb_d2_c20_r500","continuous_poisson_tlog1p5",0.0234807756717612,0.27499698752161,0.964532317486553,0.808682697475316,Inf
"xgboost","xgb_d2_c5_r200","continuous_poisson_tlog1p5",0.0319993381512021,0.45988502213044,0.943165616063991,0.777370659404957,Inf
"xgboost","xgb_d2_c5_r500","continuous_poisson_tlog1p5",0.0239972228026811,0.277263472963876,0.96394714775167,0.814944600422098,Inf
"xgboost","xgb_d3_c20_r200","continuous_poisson_tlog1p5",0.0425716590596558,0.387700875141571,0.950397038128915,0.763986314677828,Inf
"xgboost","xgb_d3_c20_r500","continuous_poisson_tlog1p5",0.0363484585840301,0.307164811671382,0.952292728709831,0.790323693905063,Inf
"xgboost","xgb_d3_c5_r200","continuous_poisson_tlog1p5",0.0434730934100297,0.390339617052235,0.950040046274854,0.773013709168352,Inf
"xgboost","xgb_d3_c5_r500","continuous_poisson_tlog1p5",0.0383191951137642,0.313361321695077,0.950303199975179,0.79522196546841,Inf
"ranger","ranger_node20_mtryall","continuous_poisson_tlog2",0.0304055179489702,0.36622831197502,0.934465709992011,0.846780795248229,Inf
"ranger","ranger_node20_mtrysqrt","continuous_poisson_tlog2",0.0345737450860022,0.454968634731533,0.926039090944478,0.786899621714675,Inf
"ranger","ranger_node5_mtryall","continuous_poisson_tlog2",0.0311149798311316,0.363336326159276,0.935073911295641,0.853051464975789,Inf
"ranger","ranger_node5_mtrysqrt","continuous_poisson_tlog2",0.0347070805499629,0.425045142034914,0.930840933284804,0.806670918748269,Inf
"xgboost","xgb_d2_c20_r200","continuous_poisson_tlog2",0.0402561559770022,0.461555928391929,0.949940973939654,0.834636738876089,Inf
"xgboost","xgb_d2_c20_r500","continuous_poisson_tlog2",0.0513296460972115,0.235184077089191,0.976906607465962,0.88195086764429,Inf
"xgboost","xgb_d2_c5_r200","continuous_poisson_tlog2",0.0400268422085406,0.461973789890086,0.949772795625492,0.829000712606914,Inf
"xgboost","xgb_d2_c5_r500","continuous_poisson_tlog2",0.0523733594290646,0.234806000916981,0.976938691296106,0.878735760879678,Inf
"xgboost","xgb_d3_c20_r200","continuous_poisson_tlog2",0.0729196503957083,0.38528864786402,0.9590251024141,0.828422986378045,Inf
"xgboost","xgb_d3_c20_r500","continuous_poisson_tlog2",0.0814292738266223,0.254450407989291,0.969458865684773,0.860271308469484,Inf
"xgboost","xgb_d3_c5_r200","continuous_poisson_tlog2",0.072977066524268,0.386926219710634,0.958763480296474,0.821377438121958,Inf
"xgboost","xgb_d3_c5_r500","continuous_poisson_tlog2",0.0849936161658953,0.256784529387729,0.968657383316614,0.856850587729117,Inf
