"estimator","n_reps","bias","mc_se_bias","sd","mean_se","coverage","mc_se_coverage","fail_rate","cell","arm","treatment","family","truth"
"rao_blackwell",100,-0.0298045731984328,0.00221458722117234,0.0221458722117234,0.0238327165818524,0.78,0.041424630354416,0,"continuous_negbin_tlog2","xgb_constrained","continuous","negbin",0.693147180559945
"randomized",100,-0.0295766181863764,0.00223449866813558,0.0223449866813558,0.0238821336676605,0.78,0.041424630354416,0,"continuous_negbin_tlog2","xgb_constrained","continuous","negbin",0.693147180559945
"index_only",100,-0.0902355573446058,0.00243504256120835,0.0243504256120835,0.0246959096007676,0.03,0.017058722109232,0,"continuous_negbin_tlog2","xgb_constrained","continuous","negbin",0.693147180559945
"structured_gam",100,0.00274806382159402,0.00232173569630266,0.0232173569630266,NA,NA,NA,0,"continuous_negbin_tlog2","xgb_constrained","continuous","negbin",0.693147180559945
"poisson_one_step",100,1.25603658272698,1.30632046465274,13.0632046465274,5.78168485452093,0.96,0.0195959179422654,0,"continuous_negbin_tlog2","xgb_constrained","continuous","negbin",0.693147180559945
"raw_label",100,2.48728104120048,0.121011964223564,1.21011964223564,NA,NA,NA,0,"continuous_negbin_tlog2","xgb_constrained","continuous","negbin",0.693147180559945
"rao_blackwell",100,0.0164796688327257,0.00172127904723994,0.0172127904723994,0.018980646007567,0.89,0.031288975694324,0,"continuous_poisson_tlog1p5","xgb_constrained","continuous","poisson",0.405465108108164
"randomized",100,0.0166421215959123,0.00173918343249815,0.0173918343249815,0.0190240075959339,0.89,0.031288975694324,0,"continuous_poisson_tlog1p5","xgb_constrained","continuous","poisson",0.405465108108164
"index_only",100,-0.0461879381937755,0.00152552808250038,0.0152552808250038,0.0158938956564438,0.17,0.0375632799419859,0,"continuous_poisson_tlog1p5","xgb_constrained","continuous","poisson",0.405465108108164
"structured_gam",100,-0.00139079639700937,0.00116447685354064,0.0116447685354064,NA,NA,NA,0,"continuous_poisson_tlog1p5","xgb_constrained","continuous","poisson",0.405465108108164
"poisson_one_step",100,0.615236354040683,0.548846177382464,5.48846177382464,1.23327271612571,0.93,0.0255147016443461,0,"continuous_poisson_tlog1p5","xgb_constrained","continuous","poisson",0.405465108108164
"raw_label",100,1.11929309499661,0.256518191769578,2.56518191769578,NA,NA,NA,0,"continuous_poisson_tlog1p5","xgb_constrained","continuous","poisson",0.405465108108164
"rao_blackwell",100,0.0255168312255422,0.00180266632559858,0.0180266632559858,0.0213613083906644,0.81,0.0392300904918661,0,"continuous_poisson_tlog2","xgb_constrained","continuous","poisson",0.693147180559945
"randomized",100,0.025676709759938,0.00179802445610428,0.0179802445610428,0.021424464155562,0.82,0.0384187454245971,0,"continuous_poisson_tlog2","xgb_constrained","continuous","poisson",0.693147180559945
"index_only",100,-0.0691217815344605,0.00188960379249557,0.0188960379249557,0.0190353921518536,0.03,0.017058722109232,0,"continuous_poisson_tlog2","xgb_constrained","continuous","poisson",0.693147180559945
"structured_gam",100,0.000234544402943927,0.00124905765088643,0.0124905765088643,NA,NA,NA,0,"continuous_poisson_tlog2","xgb_constrained","continuous","poisson",0.693147180559945
"poisson_one_step",100,0.00141198248309834,0.0344231446105548,0.344231446105548,3.58870883126451,1,0,0,"continuous_poisson_tlog2","xgb_constrained","continuous","poisson",0.693147180559945
"raw_label",100,2.35058315727292,0.0407877435945385,0.407877435945385,NA,NA,NA,0,"continuous_poisson_tlog2","xgb_constrained","continuous","poisson",0.693147180559945
