"method","mstop","theta_hat","direct","min_threshold_gap","max_contrast_spread","max_probability_error","backfit_iterations","backfit_converged","max_condition_number","error","replication","seed","sample_signature","fold_signature"
"pure",5000,1.00345221737099,0.948282715268532,1.04830615970997,5.96167275486897e-16,2.22044604925031e-16,0,1,NA,"",4,192004,14271161,13509676
"pure",10000,1.01923949850459,0.975859912257399,1.06594561734677,6.59614803314712e-16,2.22044604925031e-16,0,1,NA,"",4,192004,14271161,13509676
"pure",500,1.01877176168112,0.905714418483511,0.961204963054812,2.78231446889878e-16,2.22044604925031e-16,0,1,NA,"",5,192005,14416054,13472477
"pure",1000,1.03944325627434,0.956684284832335,0.982121839005563,4.15754024271877e-16,2.22044604925031e-16,0,1,NA,"",5,192005,14416054,13472477
"pure",2000,1.05979147784165,1.00132008361919,1.00219776418491,5.6051584532263e-16,2.22044604925031e-16,0,1,NA,"",5,192005,14416054,13472477
"pure",5000,1.08839098111285,1.05777138604529,1.03003411922493,5.85369404902277e-16,2.22044604925031e-16,0,1,NA,"",5,192005,14416054,13472477
"pure",10000,1.1062744774805,1.09035308123963,1.05025116371261,6.52337110837788e-16,2.22044604925031e-16,0,1,NA,"",5,192005,14416054,13472477
"pure",500,0.859701173053354,0.773294154765752,0.974819209932285,2.92227354839348e-16,2.22044604925031e-16,0,1,NA,"",6,192006,14357933,13552463
"pure",1000,0.877396206447513,0.816758504211898,0.997275008362234,4.39875766550942e-16,2.22044604925031e-16,0,1,NA,"",6,192006,14357933,13552463
"pure",2000,0.894287124728753,0.853393143900559,1.02016983402518,5.54091171131572e-16,2.22044604925031e-16,0,1,NA,"",6,192006,14357933,13552463
"pure",5000,0.918007399567889,0.900615735069976,1.05181249253957,6.21780495128124e-16,2.22044604925031e-16,0,1,NA,"",6,192006,14357933,13552463
"pure",10000,0.933186756478968,0.930448647062291,1.07305665469686,6.83590193314887e-16,2.22044604925031e-16,0,1,NA,"",6,192006,14357933,13552463
"pure",500,0.96480738886131,0.900154919251576,0.983096036579443,2.87971389339038e-16,2.22044604925031e-16,0,1,NA,"",7,192007,14179684,13557626
"pure",1000,0.983137717098887,0.941223770194043,1.00171397607836,4.49912598306444e-16,2.22044604925031e-16,0,1,NA,"",7,192007,14179684,13557626
"pure",2000,0.99883657258538,0.971612589289676,1.01866072856358,5.58953415967829e-16,2.22044604925031e-16,0,1,NA,"",7,192007,14179684,13557626
"pure",5000,1.01959138727032,1.00581419475708,1.04114671993634,6.62727092009084e-16,2.22044604925031e-16,0,1,NA,"",7,192007,14179684,13557626
"pure",10000,1.03515210904489,1.03037141802335,1.05763719862911,6.54352834794788e-16,2.22044604925031e-16,0,1,NA,"",7,192007,14179684,13557626
