"theta","learner","rep","var_ratio","p_het","theta_hat","theta_bias"
1.5,"gam",28,1.02650280666134,0.689301748135753,1.47137950369818,-0.028620496301822
1.5,"gam",29,1.13054439792669,0.0651532896644984,1.37583396046782,-0.124166039532178
1.5,"gam",30,1.05073854813474,0.447858215701851,1.43243038029246,-0.067569619707541
1.5,"gam",31,0.917335809234903,0.181437961842115,1.45270610033058,-0.0472938996694203
1.5,"gam",32,1.02136171293434,0.749734621487348,1.76245802578087,0.262458025780869
1.5,"gam",33,1.14877059857236,0.0365635779420797,1.2614002188149,-0.238599781185098
1.5,"gam",34,1.02028028723346,0.762783366686894,1.54730335049252,0.047303350492524
1.5,"gam",35,1.08925617591976,0.196965345076029,1.54122751839545,0.0412275183954498
1.5,"gam",36,1.16675966312187,0.0194440566969649,1.28146935500714,-0.218530644992864
1.5,"gam",37,1.00531133156454,0.940540524968039,1.76815224208405,0.268152242084047
1.5,"gam",38,0.961048351804665,0.539180421653165,1.56302998165074,0.0630299816507442
1.5,"gam",39,1.02450382774701,0.713549802872376,1.48848469517664,-0.0115153048233552
1.5,"gam",40,1.08947151641435,0.19086367885103,1.50835067983835,0.00835067983834947
1.5,"gam",41,0.946755575793222,0.399067655217144,1.47811990686062,-0.021880093139381
1.5,"gam",42,0.936681452053235,0.318210219452087,1.37850253039777,-0.121497469602226
1.5,"gam",43,1.02429110183737,0.715510455748597,1.68385834504444,0.183858345044445
1.5,"gam",44,1.12931637149853,0.0603458873420515,1.63780591394026,0.137805913940256
1.5,"gam",45,1.06631485452913,0.329174249052046,1.67314553948376,0.17314553948376
1.5,"gam",46,1.06199489901156,0.356250580838763,1.37485870775837,-0.125141292241631
1.5,"gam",47,0.968505680917607,0.619806779162181,1.76597535004322,0.26597535004322
1.5,"gam",48,0.779840418608068,0.000126118400863139,1.55094356803213,0.0509435680321286
1.5,"gam",49,0.953016717599163,0.457777154911216,1.58866505354675,0.0886650535467486
1.5,"gam",50,1.20478196947202,0.00490147052351464,1.66824199064391,0.168241990643907
1.5,"gam",51,1.04489293268003,0.508497184441372,1.37862703117139,-0.121372968828606
1.5,"gam",52,0.919620086540015,0.197698671291261,1.85154755522332,0.351547555223319
1.5,"gam",53,0.981990763973927,0.775591252683284,1.5949031478329,0.0949031478328974
1.5,"gam",54,1.15901222764169,0.0251912880572338,1.67210608030581,0.172106080305805
1.5,"gam",55,0.93484614197053,0.292749273112727,1.41349196973918,-0.0865080302608221
