"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1636005,"min",0.75,0.6408369249707,0.114196867071157,0.639366005923595,0.660119441263784,0.696527182380381,0.743158328670186,0.757162759975333,0.744048147602486,0.757175889971956,0.774891094990316,0.0207534353401888,0.636931277020193,0,652.037561606586,5.32907051820075e-15,0,0.4747057508464,0.988491761110504,0.757175889971956,0.00301850474391121,1,0.116338965001256,1.02189072019125e-13,1,0.774891094990316,0.0336162601690362,1.60055121426326,-0.250801223416273,2.89261622062516e-11,1,0.755850789186091,0.814851195225226,2202298,13463791,"high_signal",0.001,3000,80,5,5,5
1636006,"min",0.75,0.63251900675876,0.116883633311292,0.630919511392719,0.656104163670726,0.697497986126362,0.733233298791428,0.740197797501346,0.729143863817799,0.740198285049291,0.754572272386466,0.0251846522780067,0.621729810141165,0,190.796083349417,6.21724893790088e-15,0,0.534669891767811,0.986810603302701,0.740198285049291,-0.00198649288903552,1,0.107679278290531,5.90194559890733e-15,1,0.754572272386466,-0.00796298957283124,1.49883190334298,-0.19346739441438,1.25899616657913e-12,1,0.755713793865452,0.790619297153889,2273066,13514938,"high_signal",0.001,3000,80,5,5,6
1636007,"min",0.75,0.625118381802275,0.117613081681304,0.622684740249399,0.644467210215459,0.678802485765836,0.701869260467224,0.722159073284337,0.710386520946984,0.722159115772316,0.732739293545139,0.02178246996606,0.611843459397708,0,214.130281792076,4.88498130835069e-15,0,0.602700852596446,0.981648194433543,0.722159115772316,8.08125860613172e-05,1,0.0970407339700402,5.09370323698022e-16,1,0.732739293545139,0.031774660074035,1.50979111344134,-0.211058884148768,1.91506958439428e-13,1,0.753697789946257,0.765833046111166,2182179,13491778,"high_signal",0.001,3000,80,5,5,7
1636008,"min",0.75,0.655942363457125,0.119788935259571,0.655217972587915,0.678755486477615,0.719836433009162,0.742647516179614,0.76820619933893,0.756733205736988,0.768241239907034,0.780239844755331,0.0235375138896998,0.635746290823724,0,867.52122822031,5.32907051820075e-15,0,0.497527091162681,0.985266475561632,0.768241239907034,0.00464299441930539,1,0.112298876449909,1.58453990669235e-14,1,0.780239844755331,0.0156562335949406,1.56141427796871,-0.243957927071167,2.19486281001953e-12,1,0.764254983902732,0.789387635735327,2217870,13443864,"high_signal",0.001,3000,80,5,5,8
1636009,"min",0.75,0.668052763947789,0.122848693575498,0.670739362714348,0.693782432852788,0.735314280270472,0.772298368623309,0.781266355255096,0.771729580534422,0.781260495563363,0.788775485582013,0.0230430701384394,0.643157575564659,0,339.341877412931,6.21724893790088e-15,0,0.585682414595722,0.974409673999772,0.781260495563363,-0.00120511756347487,1,0.113207731615574,2.08076518977881e-14,1,0.788775485582013,0.00561870561662238,1.56016375586339,-0.253496223733689,1.25276677920283e-12,1,0.770411485099691,0.826165006824214,2221706,13476864,"high_signal",0.001,3000,80,5,5,9
1636010,"min",0.75,0.614674716430775,0.113281087618879,0.616456432709413,0.638594619780299,0.674906600898983,0.715036515007945,0.719850293153828,0.708972857780863,0.719855269980528,0.727748998205435,0.0221381870708863,0.621246820041885,0,326.288656681509,5.32907051820075e-15,0,0.524748330767421,0.98868619703936,0.719855269980528,0.00195424742745853,1,0.105180553549752,6.50265027009785e-15,1,0.727748998205435,0.0408389675857292,1.50832310841955,-0.19937908074834,1.55371004950666e-12,1,0.743257242417395,0.760284611239958,2145899,13602816,"high_signal",0.001,3000,80,5,5,10
1636011,"min",0.75,0.627357935729985,0.115204574534841,0.627914574540149,0.648126680515941,0.682748485925966,0.680186958818031,0.731300527836876,0.719312520122308,0.73131950424353,0.742447180872007,0.020212105975792,0.631394050415675,0,527.792306056903,4.66293670342566e-15,0,0.529884596494309,0.98499741678934,0.73131950424353,-0.00284818445973208,1,0.103961568513546,1.2145543829926e-14,1,0.742447180872007,-0.0068243202842589,1.53992514194416,-0.223637077356784,2.97984451928338e-12,1,0.749928846812827,0.692425908351222,2289968,13462904,"high_signal",0.001,3000,80,5,5,11
1636012,"min",0.75,0.586327761107679,0.109458733950225,0.586623264502278,0.607654717694584,0.639763704864439,0.678117251494785,0.67933011304152,0.668423140259268,0.679324000378683,0.68926931331717,0.0210314531923066,0.604228850025072,0,647.479370787232,4.44089209850063e-15,0,0.52627886778754,0.99092938910402,0.679324000378683,0.00118697258116503,1,0.0929962392710042,5.42232925226926e-16,1,0.68926931331717,0.0271381453077331,1.43328299609423,-0.151104296816468,1.99012066085894e-13,1,0.731925889463176,0.721991816914093,2177037,13415678,"high_signal",0.001,3000,80,5,5,12
1636013,"min",0.75,0.63481806653271,0.118893125114666,0.637536022963086,0.659512810093824,0.696035034813372,0.704037238936301,0.741435150520166,0.729497626147763,0.741446967717905,0.755500764479961,0.0219767871307375,0.6243220793715,0,535.764339289033,6.66133814775094e-15,0,0.549276705455951,0.984481415996572,0.741446967717905,0.00166979166160501,1,0.106628901185195,4.18154399994819e-15,1,0.755500764479961,0.0225433106191009,1.58772485559382,-0.252415658534035,1.11018394477469e-12,1,0.755085890009421,0.735442042901392,2204133,13421988,"high_signal",0.001,3000,80,5,5,13
1636014,"min",0.75,0.594936363590765,0.113526293607945,0.595883466675237,0.615493448379263,0.645367526337341,0.654390836969148,0.68535087496801,0.673617928272414,0.685366086027189,0.693844793816593,0.0196099817040262,0.603711137729394,0,149.376745899236,4.66293670342566e-15,0,0.634184124129157,0.984212898192608,0.685366086027189,0.00174566555413966,1,0.0904297224364243,1.16055313507483e-16,1,0.693844793816593,0.0209000129220181,1.50456669653435,-0.201276645399321,5.50155476730652e-14,1,0.738646325480546,0.639404116248523,2210995,13590351,"high_signal",0.001,3000,80,5,5,14
1636015,"min",0.75,0.61347511788151,0.115120281894493,0.612964715826331,0.633820467039062,0.667118804263866,0.698296329486348,0.712632190754855,0.701095740220746,0.712673201994042,0.72374706434639,0.0208557512127316,0.61488131709967,0,519.445523228409,4.88498130835069e-15,0,0.549974247514795,0.987778273558733,0.712673201994042,-0.00318559293775838,1,0.0991980841125322,9.74627785884271e-16,1,0.72374706434639,0.00641337969239336,1.55530411031036,-0.230393308067856,3.85568021954441e-13,1,0.746260679535883,0.739264194623617,2236420,13532916,"high_signal",0.001,3000,80,5,5,15
1636016,"min",0.75,0.612374485587039,0.113951351415269,0.612457582370688,0.635726869762773,0.672272954006832,0.700217864496056,0.715348583081157,0.702763160378725,0.715353400060624,0.730444025736326,0.0232692873920851,0.610981479248647,0,559.785620782095,4.2188474935756e-15,0,0.502893495602553,0.990431836776035,0.715353400060624,-0.000972737820584887,1,0.102978914473585,3.25754238398683e-15,1,0.730444025736326,0.0149070147992945,1.50840909896217,-0.193267220295442,2.16915019279895e-12,1,0.744869299268306,0.741491996503817,2251475,13498056,"high_signal",0.001,3000,80,5,5,16
1636017,"min",0.75,0.64371890353403,0.120325185116837,0.64621069472509,0.664509932580962,0.694735784989561,0.708623501991579,0.744522440931848,0.732422501506326,0.744542412576323,0.753221033847675,0.0182992378558715,0.622891214500841,0,204.505559547299,4.44089209850063e-15,0,0.539208573762819,0.982743847278222,0.744542412576323,-0.00430959522749613,1,0.100823509042293,1.02022094476221e-15,1,0.753221033847675,0.00354090014386239,1.54761026459626,-0.24300494877624,2.21975327008295e-13,1,0.755777027667999,0.731370112042843,2255148,13601426,"high_signal",0.001,3000,80,5,5,17
