"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","replication","bootstrap_fit_timeout"
"orthogonal",0.75,0.618377097726788,0.058429016286992,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,9,Inf
"targeted_projection",0.75,0.665917666672562,0.04861764833381,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,9,Inf
"targeted_sudo",0.75,0.657391180663068,0.0476267721644336,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,9,Inf
"direct",0.75,0.635676554603221,0.0478944310482532,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,10,Inf
"raw_label",0.75,0.130277445298477,0.00866698630695163,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,10,Inf
"index_projection",0.75,0.635912238080043,0.0477394776179457,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,10,Inf
"sudo",0.75,0.664263638867591,0.0489501073071664,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,10,Inf
"scaled",0.75,0.690736601081471,0.0519583577966833,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,10,Inf
"orthogonal",0.75,0.729090837338084,0.0548534999635797,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,10,Inf
"targeted_projection",0.75,0.701659370908677,0.0538063810450719,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,10,Inf
"targeted_sudo",0.75,0.696040023067895,0.0526350626679007,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,10,Inf
"direct",0.75,0.710179324348824,0.0393649715472862,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,11,Inf
"raw_label",0.75,0.144319345902246,0.00717391968995754,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,11,Inf
"index_projection",0.75,0.712974196617505,0.0391872454192128,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,11,Inf
"sudo",0.75,0.735304339839732,0.0402402948899118,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,11,Inf
"scaled",0.75,0.757353321771484,0.0433838037050297,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,11,Inf
"orthogonal",0.75,0.772057530651797,0.0496673657572686,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,11,Inf
"targeted_projection",0.75,0.780035562726506,0.0469705543071164,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,11,Inf
"targeted_sudo",0.75,0.771611603804162,0.0460681785694519,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,11,Inf
"direct",0.75,0.644752829984367,0.0380804764624317,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,12,Inf
"raw_label",0.75,0.131958310532759,0.00753860748695275,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,12,Inf
"index_projection",0.75,0.640174935560763,0.0383185693961674,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,12,Inf
"sudo",0.75,0.66524093019999,0.0396722665071595,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,12,Inf
"scaled",0.75,0.688388991149346,0.0426283596729929,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,12,Inf
"orthogonal",0.75,0.705754503361816,0.0518118416267814,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,12,Inf
"targeted_projection",0.75,0.698309169444988,0.0458927033046922,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,12,Inf
"targeted_sudo",0.75,0.695688747846731,0.0444851822718267,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,12,Inf
"direct",0.75,0.657374302619321,0.0407264172318935,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,13,Inf
"raw_label",0.75,0.134796649565817,0.00795157048627725,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,13,Inf
"index_projection",0.75,0.659989245043079,0.0406597037336499,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,13,Inf
"sudo",0.75,0.683155606030534,0.0435490542346571,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,13,Inf
"scaled",0.75,0.705287323156518,0.0481144662784725,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,13,Inf
"orthogonal",0.75,0.715729284200054,0.0501024575527168,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,13,Inf
"targeted_projection",0.75,0.728903131129077,0.0496446540187986,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,13,Inf
"targeted_sudo",0.75,0.719034696873807,0.0484068775471552,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,13,Inf
"direct",0.75,0.698135333398169,0.0425773648779168,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,14,Inf
"raw_label",0.75,0.138557759999523,0.00738668458738726,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,14,Inf
"index_projection",0.75,0.700749661797476,0.043125067922327,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,14,Inf
"sudo",0.75,0.719662889033207,0.043951596551516,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,14,Inf
"scaled",0.75,0.73904878222805,0.047004919800207,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,14,Inf
"orthogonal",0.75,0.74979635404091,0.0521558053481114,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,14,Inf
"targeted_projection",0.75,0.766412757382492,0.0509069560340118,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,14,Inf
"targeted_sudo",0.75,0.754767075790887,0.0492376100527793,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,14,Inf
"direct",0.75,0.700676996105194,0.0395289325567596,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,15,Inf
"raw_label",0.75,0.137599003398326,0.00714019202395264,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,15,Inf
"index_projection",0.75,0.6958707773776,0.0390504483805346,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,15,Inf
"sudo",0.75,0.720222027389725,0.0401851761835759,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,15,Inf
"scaled",0.75,0.744281804061231,0.0434358581922304,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,15,Inf
"orthogonal",0.75,0.76660058336191,0.0478911993307822,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,15,Inf
"targeted_projection",0.75,0.773510741142302,0.0478355770020265,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,15,Inf
"targeted_sudo",0.75,0.760875460357884,0.0464403499286138,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,15,Inf
"direct",0.75,0.72451216255489,0.0429604686410318,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,16,Inf
"raw_label",0.75,0.143640543111411,0.00730581358065575,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,16,Inf
"index_projection",0.75,0.727622302848379,0.0435961859495384,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,16,Inf
"sudo",0.75,0.743895286843868,0.0440594847823455,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,16,Inf
"scaled",0.75,0.761065052848178,0.0465138807066512,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,16,Inf
"orthogonal",0.75,0.734293094993074,0.0554593479741889,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,16,Inf
"targeted_projection",0.75,0.806120592762515,0.0508279873794419,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,16,Inf
"targeted_sudo",0.75,0.789501249734764,0.0494027414426796,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,16,Inf
"direct",0.75,0.658038299215936,0.0424164572677995,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,17,Inf
"raw_label",0.75,0.135591596840824,0.00849966246066571,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,17,Inf
"index_projection",0.75,0.660306369882626,0.0419028181217455,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,17,Inf
"sudo",0.75,0.679497707957944,0.0456596402185854,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,17,Inf
"scaled",0.75,0.69782370443693,0.0509867105073876,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,17,Inf
"orthogonal",0.75,0.6992995234914,0.0591390096470437,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,17,Inf
"targeted_projection",0.75,0.720563362283576,0.0515744085322749,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,17,Inf
"targeted_sudo",0.75,0.712344360444331,0.0509647491935244,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,17,Inf
"direct",0.75,0.692884196167774,0.0341139060981579,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,18,Inf
"raw_label",0.75,0.144747655556213,0.00656032583749812,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,18,Inf
"index_projection",0.75,0.695913739816165,0.0350696511142256,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,18,Inf
"sudo",0.75,0.722487810497931,0.03672915106432,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,18,Inf
"scaled",0.75,0.747529709393837,0.0409250639939901,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,18,Inf
"orthogonal",0.75,0.745123585222452,0.0448157557652284,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,18,Inf
"targeted_projection",0.75,0.765557982897224,0.0407656806032718,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,18,Inf
"targeted_sudo",0.75,0.75547421144443,0.0395474137471079,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,18,Inf
"direct",0.75,0.666674847408688,0.0369196622596624,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,19,Inf
"raw_label",0.75,0.133866881456417,0.00709112598726633,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,19,Inf
"index_projection",0.75,0.668020669891122,0.0366788690414038,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,19,Inf
"sudo",0.75,0.690043540489203,0.0380964278825828,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,19,Inf
"scaled",0.75,0.711147361431597,0.0418504977483491,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,19,Inf
"orthogonal",0.75,0.703522107239032,0.0487083004897593,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,19,Inf
"targeted_projection",0.75,0.731197959903247,0.0450677695574677,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,19,Inf
"targeted_sudo",0.75,0.721648219237148,0.0439137115177358,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,19,Inf
"direct",0.75,0.655924334142281,0.03439474994907,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,20,Inf
"raw_label",0.75,0.135262563692237,0.00685622020544203,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,20,Inf
"index_projection",0.75,0.658228750361275,0.0346251083028332,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,20,Inf
"sudo",0.75,0.679471473524369,0.0361419397511067,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,20,Inf
"scaled",0.75,0.699032942155028,0.039346131257445,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,20,Inf
"orthogonal",0.75,0.720204895254661,0.043052778103507,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,20,Inf
"targeted_projection",0.75,0.721779695668123,0.0418091810003779,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,20,Inf
"targeted_sudo",0.75,0.711447142159836,0.0401030440888487,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,20,Inf
"direct",0.75,0.709919676109732,0.0344943230557439,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,21,Inf
"raw_label",0.75,0.140663954430862,0.00577144063020478,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,21,Inf
"index_projection",0.75,0.70964072285942,0.03558598306908,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,21,Inf
"sudo",0.75,0.736319033581418,0.0340903536569131,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,21,Inf
"scaled",0.75,0.763155442459066,0.0349344214331111,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,21,Inf
"orthogonal",0.75,0.801056856540429,0.0401099930439192,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,21,Inf
"targeted_projection",0.75,0.787179611561889,0.0408573246286366,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,21,Inf
"targeted_sudo",0.75,0.777432476458601,0.0388704672362569,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,21,Inf
"direct",0.75,0.590281423206668,0.0364507234181438,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,22,Inf
"raw_label",0.75,0.122675526973645,0.00713110078150064,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,22,Inf
"index_projection",0.75,0.59000406150476,0.0352125791106491,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,22,Inf
"sudo",0.75,0.609609268203882,0.0376954862561894,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,22,Inf
"scaled",0.75,0.626730006797013,0.0418026989368294,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,22,Inf
"orthogonal",0.75,0.637759715146811,0.0470458324727377,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,22,Inf
"targeted_projection",0.75,0.639145558052178,0.0428928024113418,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,22,Inf
"targeted_sudo",0.75,0.634550507331268,0.042242608868672,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,22,Inf
"direct",0.75,0.63326320638083,0.042431049802929,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,23,Inf
"raw_label",0.75,0.128360554182899,0.00784400104161504,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,23,Inf
"index_projection",0.75,0.630691316026667,0.0421862320645658,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,23,Inf
"sudo",0.75,0.658607949075333,0.0445438174736247,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,23,Inf
"scaled",0.75,0.68426026139979,0.0488926493386746,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,23,Inf
"orthogonal",0.75,0.723031099571227,0.0538239641176164,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,23,Inf
"targeted_projection",0.75,0.687643148157284,0.0511590011268777,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,23,Inf
"targeted_sudo",0.75,0.686256653524924,0.0496863270151446,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,23,Inf
"direct",0.75,0.642294228548776,0.037768402155362,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,24,Inf
"raw_label",0.75,0.133580983564458,0.00691487076839129,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,24,Inf
"index_projection",0.75,0.638767220317204,0.0380928076296184,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,24,Inf
"sudo",0.75,0.662080152811819,0.0397071820140986,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,24,Inf
"scaled",0.75,0.682370326232373,0.0431692340678111,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,24,Inf
"orthogonal",0.75,0.703867992271103,0.0480422711271774,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,24,Inf
"targeted_projection",0.75,0.703503884500244,0.0431544428935826,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,24,Inf
"targeted_sudo",0.75,0.69547144946527,0.0423407838852678,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,24,Inf
"direct",0.75,0.626830964417271,0.0382568961897584,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,25,Inf
"raw_label",0.75,0.12873961901719,0.00706548371124202,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,25,Inf
"index_projection",0.75,0.627329435108164,0.0384177644932335,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,25,Inf
"sudo",0.75,0.647656102669437,0.0386228289844795,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,25,Inf
"scaled",0.75,0.666960084643357,0.0406707163384607,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,25,Inf
"orthogonal",0.75,0.68047165908069,0.0445267979359091,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,25,Inf
