"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"index_projection",0.75,0.621895634848416,0.0380744279835461,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"sudo",0.75,0.63808260980045,0.0404791542589615,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"scaled",0.75,0.653022606486302,0.0444160581451853,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"orthogonal",0.75,0.672967757171125,0.0461250635102535,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"targeted_projection",0.75,0.67208072978065,0.0472673503551504,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"targeted_sudo",0.75,0.665882036339879,0.045319989176223,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"pit_intercept_tilt",0.75,0.672189538069951,0.0472749443069713,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"pit_affine_tilt",0.75,0.672401000152845,0.0482961368351791,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"direct",0.75,0.636884526041926,0.0420176175315614,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"raw_label",0.75,0.129685984008448,0.008343337247002,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"index_projection",0.75,0.634026525335625,0.0414939534669268,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"sudo",0.75,0.65860888890352,0.0426839648264681,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"scaled",0.75,0.681660306741508,0.0452600720894612,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"orthogonal",0.75,0.712212450193907,0.051134105699854,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"targeted_projection",0.75,0.699870073204473,0.0507322843868175,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"targeted_sudo",0.75,0.693285195222042,0.0493424988239589,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"pit_intercept_tilt",0.75,0.699861272714184,0.0507302147808772,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"pit_affine_tilt",0.75,0.702543058307377,0.0521630372435995,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,12
"direct",0.75,0.606674670288798,0.0367298237393107,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"raw_label",0.75,0.123097248639787,0.007103518110385,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
