"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"sudo",0.75,0.797163151260186,0.043687261136136,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"scaled",0.75,0.821572993504818,0.0489414354500347,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"orthogonal",0.75,0.816870213301627,0.0572998386528515,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"targeted_projection",0.75,0.853032950078676,0.0520648916246516,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"targeted_sudo",0.75,0.839637808326274,0.0509401856742531,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"pit_intercept_tilt",0.75,0.853033679206677,0.0520691322835153,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"pit_affine_tilt",0.75,0.857247764664923,0.0547793214760949,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"affine_calibrated_sudo",0.75,0.854585726205045,0.0543554002416403,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"direct",0.75,0.668807075976339,0.0434705212085216,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"raw_label",0.75,0.138847608630092,0.00849618328566553,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"index_projection",0.75,0.666500686331223,0.0431161758597754,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"sudo",0.75,0.693543893968382,0.045896938009792,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"scaled",0.75,0.717894653852937,0.0505987092730006,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"orthogonal",0.75,0.74346585384952,0.0558772612854787,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"targeted_projection",0.75,0.735797594648762,0.0527118690880814,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"targeted_sudo",0.75,0.729578991912757,0.0513475826756488,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"pit_intercept_tilt",0.75,0.735796471997004,0.0527101608510443,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"pit_affine_tilt",0.75,0.740720306743946,0.0542517562889373,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"affine_calibrated_sudo",0.75,0.738294920376927,0.0538773573654438,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,14
"direct",0.75,0.682948189797614,0.0371415309592985,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"raw_label",0.75,0.14030524185042,0.00662498419902223,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"index_projection",0.75,0.68097715170408,0.0365616266665277,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"sudo",0.75,0.706299178442776,0.0365816961713641,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"scaled",0.75,0.729807307136027,0.038693338133035,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"orthogonal",0.75,0.758390002907175,0.0422487765076948,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"targeted_projection",0.75,0.745753953618045,0.0429046249454443,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"targeted_sudo",0.75,0.740140829970839,0.0414522589517786,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"pit_intercept_tilt",0.75,0.745795178177713,0.0429052909659315,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"pit_affine_tilt",0.75,0.747913436081774,0.0439371519379064,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"affine_calibrated_sudo",0.75,0.74577649242293,0.0423807386825818,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,15
"direct",0.75,0.695608493467931,0.0424473053541966,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"raw_label",0.75,0.140136087870681,0.00728332151119068,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"index_projection",0.75,0.694506842896177,0.0414576210788197,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"sudo",0.75,0.718125869565972,0.0431986952564481,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"scaled",0.75,0.741075603344351,0.0469508794793805,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"orthogonal",0.75,0.750150025209026,0.0579489492567025,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"targeted_projection",0.75,0.760671577663102,0.0508320456798217,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"targeted_sudo",0.75,0.752394930904895,0.0496154298013602,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
