"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1615011,"min",0.75,0.683705964226369,0.135112909455204,0.683218262636183,0.707877685357445,0.732881724290054,0.764012253843626,0.754856394811508,0.747468794101177,0.754897613688715,0.758259383641054,0.024659422721262,0.503469514607636,0,242.504164490262,8.65973959207622e-15,0,0.356384338106975,0.976496893952511,0.754897613688715,0.0036527579778574,1,0.0711916494623467,2.19422406170603e-12,1,0.758259383641054,0.00580671552672439,1.12805246844054,-0.0129968169920196,2.96059473233375e-18,1,0.756596846987095,0.804684566458995,2239036,13522070,"randomized",TRUE,0.001,3000,80,5,5,11
1615012,"min",0.75,0.733613410038931,0.147519063270146,0.733785863852552,0.760489277537953,0.787794874797228,0.829521200919215,0.811774331724011,0.802560306491823,0.811774923787534,0.813154141739425,0.0267034136854014,0.505574843561663,0.000333333333333344,1001.001001001,6.66133814775094e-15,0,0.313559866499317,0.981661809310536,0.811774923787534,0.000311892835597088,1,0.0781615137486026,1.41022697223529e-12,1,0.813154141739425,-0.00481080464611614,1.15414708707157,-0.0335436384936483,3.73034936274053e-17,1,0.784832840056014,0.862555899143168,2342092,13404216,"randomized",TRUE,0.001,3000,80,5,5,12
1615013,"min",0.75,0.670386237856117,0.139276562823896,0.669337603809431,0.696142030651303,0.720699217512407,0.717693412640134,0.73817495494331,0.730401165908127,0.738164292531385,0.739316106238228,0.0268044268418715,0.47812335109092,0,309.106951492903,7.54951656745106e-15,0,0.324058781826308,0.98131893830909,0.738164292531385,0.000982111006400969,1,0.0677780546752683,2.56082562562672e-14,1,0.739316106238228,0.00250898356664474,1.06392825744825,0.0260732443786813,4.14483262526725e-18,1,0.745127056007433,0.746730302935431,2253726,13640058,"randomized",TRUE,0.001,3000,80,5,5,13
1615014,"min",0.75,0.681194254603414,0.142818477846288,0.684178583783006,0.709014514582367,0.73254713189519,0.753933742142644,0.747483996961466,0.741838364248216,0.747488549148771,0.748326708496876,0.0248359307993609,0.486527262679922,0,555.43128753011,8.43769498715119e-15,0,0.406900082210459,0.972550892187534,0.747488549148771,-0.00114507185184673,1,0.0662942945453574,2.41548632947305e-14,1,0.748326708496876,0.0013525023477781,1.11888826465093,-0.0138535489265211,1.69420033557799e-16,1,0.762222902688357,0.772341292497205,2191974,13534946,"randomized",TRUE,0.001,3000,80,5,5,14
1615015,"min",0.75,0.768253546304693,0.157326187603278,0.768555702256114,0.799286416644259,0.82945373274981,0.872349454355901,0.840690076487565,0.834972170503111,0.840689559133558,0.84486956569671,0.0307307143881451,0.495374248739847,0,275.787311772487,5.99520433297585e-15,0,0.360027828701166,0.977039828311591,0.840689559133558,0.000206854350066192,1,0.0724360128288648,5.62388654164655e-14,1,0.84486956569671,-0.00289086122181902,1.14869272919501,-0.0376176971217729,1.06581410364015e-17,1,0.812600039420318,0.900749478852287,2272209,13665444,"randomized",TRUE,0.001,3000,80,5,5,15
1615016,"min",0.75,0.75580290249706,0.151038419149897,0.760247272998433,0.784189501554573,0.808674118939003,0.831530423030904,0.83202399542528,0.821490671536446,0.832042048469764,0.835646417919701,0.0239422285561406,0.505600084186309,0,152.593121512259,5.77315972805081e-15,0,0.289836148901006,0.983378480116691,0.832042048469764,0.00327025361236205,1,0.0762391459727043,1.36314307989475e-12,1,0.835646417919701,0.010947641347276,1.15764143891915,-0.0393023416662679,4.0264088359739e-17,1,0.792621368604232,0.848424537444983,2153214,13501097,"randomized",TRUE,0.001,3000,80,5,5,16
1615017,"min",0.75,0.677601110215629,0.136934194143125,0.678920382139666,0.702064464818093,0.724017944938578,0.758437343847188,0.73763400685885,0.733441183653835,0.737634281164119,0.740706439544635,0.0231440826784273,0.48679970175715,0,421.460004766162,8.21565038222616e-15,0,0.354078794755254,0.979083122761425,0.737634281164119,0.000290507030065952,1,0.0600331709484892,5.12060024012347e-14,1,0.740706439544635,0.00539038598604733,1.10347699922138,-0.0070108002251816,1.52470628715188e-17,1,0.759369214227153,0.789319019560864,2156276,13501444,"randomized",TRUE,0.001,3000,80,5,5,17
1615018,"min",0.75,0.714813196492419,0.141055856694339,0.711114035320814,0.738610236612876,0.765905142584581,0.781598689873285,0.790861466379457,0.779937779105361,0.790870054657202,0.795883597036399,0.027496201292062,0.498163065774632,0.000333333333333341,1001.001001001,9.32587340685131e-15,0,0.319522317567685,0.97840162546183,0.790870054657202,0.000709486626771544,1,0.0760568581647832,3.53367350195792e-12,1,0.795883597036399,0.00455215260649984,1.12993735459355,-0.0118105352368073,2.72522745111322e-16,1,0.765805423444881,0.796573194975155,2215981,13448340,"randomized",TRUE,0.001,3000,80,5,5,18
1615019,"min",0.75,0.737245328870145,0.151425731614608,0.740239382390165,0.767134748783874,0.793612982869087,0.799120488382126,0.811898730688995,0.802116408480587,0.811901819005329,0.816388908172998,0.026895366393709,0.496092334930072,0,245.226225777191,8.88178419700125e-15,0,0.347207175534473,0.975352370756941,0.811901819005329,-0.00305599519800671,1,0.0746564901351842,2.25383563664157e-13,1,0.816388908172998,0.00312240124230893,1.12809949751529,-0.0152971768709086,8.43769498715119e-17,1,0.791549256228354,0.822062462111868,2140814,13549404,"randomized",TRUE,0.001,3000,80,5,5,19
1615020,"min",0.75,0.682765627143538,0.13768241223748,0.681433721368646,0.705667232601036,0.729069486788839,0.74100869254491,0.752631881994079,0.744294097685781,0.75263432670685,0.756188801593373,0.0242335112323899,0.491274864198631,0.000333333333333342,1001.001001001,6.66133814775094e-15,0,0.362924342369064,0.977230759939513,0.75263432670685,0.000996032867477121,1,0.0698686995633123,2.61571505196419e-13,1,0.756188801593373,0.00602990973249034,1.11727660833466,-0.00664926258904327,7.87518198800778e-17,1,0.758120443702715,0.781796022773688,2242870,13493598,"randomized",TRUE,0.001,3000,80,5,5,20
1625001,"min",0.75,0.657352050059858,0.119765502937557,0.658409627840025,0.670507524669472,0.68375313777691,0.713931927520082,0.742436063598468,0.720928310502957,0.742444259397135,0.746340207938801,0.0120978968294474,0.522643199005355,0,663.131160107829,4.88498130835069e-15,0,0.361714283927436,0.988220882655979,0.742444259397135,0.000536843970704095,1,0.085092209337277,6.51330841113425e-18,1,0.746340207938801,0.0237473039469543,1.25795352024244,-0.0805781174725819,3.92670784776783e-13,1,0.736967067817143,0.733648473422946,2097546,13532961,"confounded",TRUE,0.001,3000,80,5,5,1
1625002,"min",0.75,0.74373220702979,0.135319992864223,0.743635626976462,0.759550948695203,0.778363830821123,0.826041288276601,0.834113298965087,0.815453962087612,0.83412444445729,0.839684631329337,0.0159153217187405,0.541717683127822,0,515.775113998751,6.21724893790088e-15,0,0.441393074579659,0.98441773631928,0.83412444445729,0.00205334111868361,1,0.0903922374275002,5.9211894646675e-18,1,0.839684631329337,0.0145034616682123,1.30263265239899,-0.129125226188434,1.27203136912613e-13,1,0.788403692005077,0.83121108218342,2211392,13499371,"confounded",TRUE,0.001,3000,80,5,5,2
1625003,"min",0.75,0.639767580029429,0.118790151224526,0.639009283892706,0.651368432375036,0.664529243738216,0.712034893502244,0.708629020501109,0.692945561178315,0.708646573973209,0.710518207128739,0.0123591484823299,0.515706585858744,0.000333333333333343,1001.001001001,5.55111512312578e-15,0,0.450888049905057,0.987377811804665,0.708646573973209,0.00138159991949791,1,0.0688789939437796,1.64624312700331e-11,1,0.710518207128739,0.0178409193521664,1.25335580968514,-0.0913382061493468,7.22432484205153e-14,1,0.737262533488399,0.771388237783256,2212564,13457483,"confounded",TRUE,0.001,3000,80,5,5,3
1625004,"min",0.75,0.685513308608425,0.130993059583415,0.683764648173875,0.69855487799568,0.713807643345732,0.773011342645135,0.753405809289521,0.740598112588512,0.753425998211607,0.755454804426642,0.014790229821805,0.507697893062942,0.000333333333333347,1001.001001001,4.88498130835069e-15,0,0.501189788796124,0.981460017456402,0.753425998211607,0.00171338411111115,1,0.0679126896031818,3.30587586934901e-12,1,0.755454804426642,0.0100945536155696,1.25136383752521,-0.102371760108199,4.16437255050065e-15,1,0.770568925558618,0.826130644649416,2263146,13627223,"confounded",TRUE,0.001,3000,80,5,5,4
1625005,"min",0.75,0.726227456514769,0.138066327676838,0.725997311185667,0.740626771274126,0.756112917897288,0.811212657367007,0.805333334192665,0.787142286772918,0.805337458889959,0.80755718225811,0.0146294600884594,0.514223298618973,0,648.524869241298,7.99360577730113e-15,0,0.48033387861772,0.981060618328579,0.805337458889959,-0.00227855489445144,1,0.0791100023751905,8.85173608485464e-12,1,0.80755718225811,0.0142822229192094,1.2951041761351,-0.13298302949814,1.68271322801653e-14,1,0.77695539279071,0.852883300563289,2206950,13630036,"confounded",TRUE,0.001,3000,80,5,5,5
1625006,"min",0.75,0.681931159226537,0.12438209567181,0.681525751286756,0.684612297752135,0.687919181383801,0.733336880864237,0.737059803629855,0.721572592983201,0.737071255974941,0.736878638322796,0.0030865464653792,0.51723153009747,0,423.262262998652,4.88498130835069e-15,0,0.496381362434225,0.97523298389317,0.737071255974941,0.00122224915747671,1,0.0551400967484046,8.65560837818672e-12,1,0.736878638322796,0.0121965873538721,1.22012585715812,-0.0951632018513092,8.56470450116831e-15,1,0.755715829512086,0.809995366579502,2217781,13548416,"confounded",TRUE,0.001,3000,80,5,5,6
1625007,"min",0.75,0.60586488272569,0.113894518858804,0.605113731653448,0.617722861070134,0.630549770033197,0.685691101179434,0.678366429349874,0.665614062147639,0.678386639323033,0.680164711270867,0.0126091294166862,0.504280925023101,0.000999999999999999,1001.001001001,5.10702591327572e-15,0,0.415763212832883,0.991565579942799,0.678386639323033,0.00144351201716131,1,0.0725217565973429,8.09747469077138e-12,1,0.680164711270867,0.00686834317077279,1.24883180723651,-0.0764586251645914,2.64940069882869e-13,1,0.718025413326971,0.728875662298011,2206833,13449524,"confounded",TRUE,0.001,3000,80,5,5,7
1625008,"min",0.75,0.62553904844039,0.115741333870056,0.624814436830034,0.636941939235964,0.649444267793959,0.703816190613325,0.689283678122278,0.676549504772996,0.689307898606942,0.689053012180537,0.0121275024059306,0.507609190509943,0.00033333333333333,1001.001001001,6.21724893790088e-15,0,0.511869213990534,0.982233179679057,0.689307898606942,-0.00469451524764804,1,0.063768850166551,2.7539474404629e-12,1,0.689053012180537,0.01996878002737,1.23511210165246,-0.0835578366043538,5.20309721233995e-15,1,0.73075314907582,0.745898996291059,2121135,13384044,"confounded",TRUE,0.001,3000,80,5,5,8
1625009,"min",0.75,0.697983841066078,0.130883719312291,0.699195886279277,0.706214194557955,0.713606057214059,0.743080685154936,0.780123353902579,0.757651596289758,0.780132281846101,0.785857020335477,0.00701830827867778,0.512961483216158,0,909.182141257644,4.44089209850063e-15,0,0.441513680164071,0.98660189064588,0.780132281846101,-0.00179313383961617,1,0.0821484407800232,1.48189072864587e-11,1,0.785857020335477,0.0300666495462263,1.29427986372074,-0.117529410358808,4.72342165380724e-14,1,0.76467101443488,0.786612753291889,2129016,13475402,"confounded",TRUE,0.001,3000,80,5,5,9
1625010,"min",0.75,0.636918278491283,0.118578030170979,0.637334039267506,0.643390207277797,0.649553193007384,0.658633071774686,0.703311376060335,0.684549626619379,0.703325121494664,0.708966818246706,0.00605616801029174,0.504370913140504,0.00100000000000001,1001.001001001,6.21724893790088e-15,0,0.404004491056549,0.991531965982912,0.703325121494664,-0.00256485084392945,1,0.0664068430033816,6.97265919077002e-12,1,0.708966818246706,0.022454385859028,1.26212747129883,-0.0949052380094979,1.49298499489229e-13,1,0.729569502256669,0.642063849930601,2173504,13525152,"confounded",TRUE,0.001,3000,80,5,5,10
1625011,"min",0.75,0.68930080442205,0.124383011888657,0.687087559447287,0.697579077813377,0.709135499258322,0.76029246034672,0.770413263103645,0.75062576840941,0.770420749493718,0.777732525552161,0.0104915183660904,0.524149718476671,0.000333333333333341,1001.001001001,7.105427357601e-15,0,0.354591060996332,0.991174457036536,0.770420749493718,0.00245938067226914,1,0.081119945071668,9.62193288008469e-19,1,0.777732525552161,0.0312991811764606,1.29034450838963,-0.111702982062387,1.1276232170232e-12,1,0.755840033954205,0.787731820668525,2160420,13439566,"confounded",TRUE,0.001,3000,80,5,5,11
1625012,"min",0.75,0.689425237538008,0.130751606707243,0.690297796625306,0.701182392594752,0.71241272306397,0.711807640677914,0.764581665976486,0.744278830634163,0.764582692844641,0.7690731507945,0.0108845959694467,0.507816768026105,0,543.379075069047,6.66133814775094e-15,0,0.461361102407835,0.98638125327338,0.764582692844641,-0.000240988267281126,1,0.0751574553066323,9.00358661700314e-12,1,0.7690731507945,0.0140704867185288,1.28082436539886,-0.11395949156508,4.60098625865157e-14,1,0.757958249230568,0.635761229451232,2241262,13511271,"confounded",TRUE,0.001,3000,80,5,5,12
1625013,"min",0.75,0.760202269873634,0.140492788748357,0.760138489604252,0.771676839089411,0.784432374837931,0.847955441363633,0.849478668714883,0.829056688559412,0.849472205410692,0.854224119418243,0.0115383494851595,0.525051288660756,0,287.304587128491,6.21724893790088e-15,0,0.41575965692114,0.982315600807523,0.849472205410692,-0.00103534165572182,1,0.0892699355370583,1.48029736616688e-18,1,0.854224119418243,0.0117472957664345,1.30245108775241,-0.135902153890521,5.36914216790289e-14,1,0.801654799488595,0.892575145279862,2197472,13579328,"confounded",TRUE,0.001,3000,80,5,5,13
1625014,"min",0.75,0.604475172693408,0.11441707972688,0.603473715582605,0.616844928323041,0.630224574340069,0.670891423872608,0.675255923547046,0.659102368215685,0.675260174835689,0.679251264834415,0.013371212740436,0.500157626277884,0.000333333333333341,1001.001001001,7.105427357601e-15,0,0.46151349663792,0.986404526665231,0.675260174835689,0.000359128632179588,1,0.0707850021422811,3.22339281192778e-12,1,0.679251264834415,0.00880690862470792,1.23939785037738,-0.069933964808289,4.55981178741164e-14,1,0.717376101561897,0.681648980202713,2272346,13425813,"confounded",TRUE,0.001,3000,80,5,5,14
1625015,"min",0.75,0.690445594318445,0.131725835165314,0.691508014243065,0.706784276137692,0.722314705242541,0.771155367668523,0.766682257628327,0.749296126782622,0.76668211788944,0.772198528299887,0.0152762618946272,0.504125194916691,0.00066666666666666,1001.001001001,5.77315972805081e-15,0,0.424581498493449,0.988668923986657,0.76668211788944,-0.000215446874480717,1,0.0762365235709942,6.81773274872436e-12,1,0.772198528299887,0.0216672191275981,1.28237589838308,-0.113212260998872,5.46508024020416e-14,1,0.764327541237063,0.786751158322231,2158503,13558260,"confounded",TRUE,0.001,3000,80,5,5,15
1625016,"min",0.75,0.721342466423813,0.138037154784356,0.722761585841415,0.737762976806653,0.753470179511488,0.817853234562405,0.798511669320375,0.783597300484755,0.798511088419846,0.805759759804468,0.0150013909652381,0.511492088292622,0,763.278680746286,5.55111512312578e-15,0,0.552768530754953,0.97021213596624,0.798511088419846,0.00380191946848133,1,0.0771686219960328,6.30587138061855e-12,1,0.805759759804468,0.0324564061444807,1.30346951582047,-0.13448815564572,1.91325473982336e-14,1,0.790374220721658,0.86189506709517,2141903,13503898,"confounded",TRUE,0.001,3000,80,5,5,16
1625017,"min",0.75,0.636536191312292,0.123624453950655,0.635644017592443,0.652990517879129,0.670148378994161,0.7095900970756,0.710396853177512,0.695461999203677,0.710388335960634,0.716907504305731,0.0173465002866859,0.497266444530624,0.00166666666666665,1001.001001001,5.32907051820075e-15,0,0.476036509106179,0.990605904912489,0.710388335960634,-0.00144704214228239,1,0.0738521446483417,7.81236438503659e-12,1,0.716907504305731,0.0160447965202401,1.25212699872561,-0.0801166465023597,2.14872712215689e-13,1,0.74162268718878,0.751096484073026,2254269,13429841,"confounded",TRUE,0.001,3000,80,5,5,17
1625018,"min",0.75,0.704851600198349,0.128184237732286,0.702005722458636,0.711034942043183,0.720926526894178,0.757779558747979,0.777719376510493,0.758490192228898,0.777715093627008,0.78412757783506,0.00902921958454683,0.522788810840101,0.000333333333333331,1001.001001001,5.32907051820075e-15,0,0.432340981806571,0.983529223429533,0.777715093627008,-0.00117489532953943,1,0.072863493428659,2.77666911685515e-11,1,0.78412757783506,0.0238869747085722,1.25387486849579,-0.0996681296726941,4.58288222186335e-14,1,0.764887195304404,0.801521833059496,2148278,13421042,"confounded",TRUE,0.001,3000,80,5,5,18
1625019,"min",0.75,0.665610777984947,0.128095353519181,0.664932440693023,0.681252781872849,0.697986819533425,0.733275806149194,0.741449259036819,0.724928329166228,0.741429276736295,0.747493516794156,0.0163203411798266,0.506257816592873,0.00033333333333333,1001.001001001,4.88498130835069e-15,0,0.475607849006852,0.986867255061769,0.741429276736295,-0.00192804160073992,1,0.0758184987513482,1.05816978882937e-11,1,0.747493516794156,0.0117312011982227,1.26616549924947,-0.0952798862189852,2.9534300930815e-14,1,0.755643056212545,0.753554289265971,2243045,13438270,"confounded",TRUE,0.001,3000,80,5,5,19
1625020,"min",0.75,0.648606401022268,0.121052793774278,0.650650669247025,0.659392822764244,0.668458491725499,0.727484157902135,0.707920713401823,0.694916539435291,0.707920984912838,0.713410745751266,0.00874215351721996,0.509083520582754,0.00133333333333332,1001.001001001,6.21724893790088e-15,0,0.449773480122442,0.988012452595597,0.707920984912838,-7.47268333222513e-05,1,0.0593145838905695,8.75340925669358e-12,1,0.713410745751266,0.0241571307763268,1.25778299293582,-0.102395354563855,6.05441622762252e-14,1,0.742946905949461,0.791757772525171,2130999,13511447,"confounded",TRUE,0.001,3000,80,5,5,20
1635001,"min",0.75,0.614244975654722,0.113968414751529,0.616631108913951,0.639085556251658,0.674556033813013,0.719839872262029,0.713158659005268,0.703638312131323,0.713163543981724,0.726344299460535,0.0224544473377065,0.61235258609597,0.000333333333333343,1001.001001001,6.21724893790088e-15,0,0.559615455727354,0.985580686270848,0.713163543981724,0.00132276503925913,1,0.0989185683270024,1.78523862359725e-15,1,0.726344299460535,0.0131797878323133,1.48739529629701,-0.18728078810237,8.91574813977058e-13,1,0.749127857391931,0.788868014404093,2205331,13520885,"high_signal",FALSE,0.001,3000,80,5,5,1
1635002,"min",0.75,0.627858723001389,0.116928362875334,0.629945383545369,0.6489220417893,0.678953978653286,0.696474305158362,0.731075499263587,0.716521342591952,0.731080827158234,0.744299917301529,0.0189766582439318,0.612789181119249,0,316.023082507807,5.55111512312578e-15,0,0.483563250218089,0.987314274954468,0.731080827158234,0.00295116036361226,1,0.103222104156845,1.55194375868935e-15,1,0.744299917301529,-0.00104952574313293,1.52897846217056,-0.215682547453505,7.06530537778841e-13,1,0.747313159991009,0.723976225287107,2224420,13600298,"high_signal",FALSE,0.001,3000,80,5,5,2
