"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","affine_calibrated_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","affine_calibrated_sudo_mean_intercept","affine_calibrated_sudo_mean_slope","affine_calibrated_sudo_mean_tilt","affine_calibrated_sudo_max_score_error","affine_calibrated_sudo_convergence_rate","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","error","cell","gating","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1628009,"min",0.75,0.600217413137684,0.11678942647373,0.598782503183629,0.608266498642586,0.617350023874773,0.637420689957148,0.656629100895563,0.641775872826755,0.656607985986983,0.657664051071256,0.652964198476664,0.00948399545895628,0.489215840029738,0,243.944147958533,6.66133814775094e-15,0,0.494853853865832,0.984420668543272,0.656607985986983,-0.00313740299445319,1,0.0563905728492988,2.83677525914072e-13,1,0.657664051071256,0.0159586440005938,1.22989090569743,-0.0805378867880202,1.61130368307264e-15,1,0.0161255985591911,1.2312228673274,-0.0811590250926511,4.63333075610232e-15,1,0.71273953696925,0.640841820655054,2158458,13411427,"","confounded",TRUE,0.001,3000,80,5,5,9
1628010,"min",0.75,0.67332918539951,0.126043657811932,0.67211279304899,0.686870203587882,0.703142712942588,0.727070077028253,0.755103471886308,0.735893506027943,0.755122624632084,0.75447709089804,0.751488261981586,0.0147574105388918,0.524413514778797,0,429.890646385743,7.54951656745106e-15,0,0.398550998776356,0.98850582236705,0.755122624632084,0.00452716239743427,1,0.0817934392325733,3.79952608634918e-11,1,0.75447709089804,0.013508605656229,1.26714199011887,-0.0987265930942138,6.65553538207557e-14,1,0.0137184899891051,1.26887768655369,-0.0998130652430567,1.64805946667457e-13,1,0.747993421738646,0.708069871330685,2211346,13457452,"","confounded",TRUE,0.001,3000,80,5,5,10
1628011,"min",0.75,0.687515748280553,0.12924448978272,0.687882685476372,0.69240703937756,0.697185811265008,0.698336149944492,0.751222985293546,0.729482035736082,0.751209856345921,0.752582621079576,0.747059329009933,0.00452435390118833,0.513673790510824,0,285.83897693118,5.77315972805081e-15,0,0.503686276393463,0.982643216228938,0.751209856345921,0.00268162682370401,1,0.0636941080653678,4.81571493793354e-12,1,0.752582621079576,0.0251078851367499,1.23421157107026,-0.0959572707413122,1.13479596090353e-15,1,0.025641113880122,1.23651184851563,-0.0963657722681482,3.25887465161638e-15,1,0.761304339915937,0.762092284989332,2124063,13588706,"","confounded",TRUE,0.001,3000,80,5,5,11
1628012,"min",0.75,0.699610813350508,0.126712237632522,0.699961603551347,0.706770881439157,0.714181591594027,0.773209198762092,0.77715711841079,0.758074369287498,0.777173674504537,0.782506551918476,0.780654240918338,0.00680927788781072,0.521147425203649,0.000333333333333341,1001.001001001,5.32907051820075e-15,0,0.402694758527861,0.98776703188785,0.777173674504537,-0.00216738605277212,1,0.0775628611540286,3.84877315203388e-18,1,0.782506551918476,0.0106895478360172,1.3019982195903,-0.128385481470006,5.40881635776221e-13,1,0.0107291978346134,1.30213836124405,-0.128468091318336,9.64036350747932e-13,1,0.761493035932144,0.807579779574147,2214774,13447365,"","confounded",TRUE,0.001,3000,80,5,5,12
1628013,"min",0.75,0.737982498755212,0.135224296468862,0.739618428734089,0.752052642944727,0.766192363400516,0.791758571846899,0.823251116957466,0.803078406267354,0.823253525189151,0.830154849979973,0.829250323488458,0.0124342142106373,0.53208983288627,0,587.740286572538,4.88498130835069e-15,0,0.513482971311536,0.973154517356656,0.823253525189151,0.000247004618135321,1,0.0852710264339389,3.5527136788005e-18,1,0.830154849979973,0.0130786399376595,1.27494441852291,-0.110731817775573,1.85049013149789e-13,1,0.0130841178469734,1.27679556591578,-0.111337052907372,6.77769090851044e-13,1,0.779924621462725,0.80839237376991,2223901,13568058,"","confounded",TRUE,0.001,3000,80,5,5,13
1628014,"min",0.75,0.675564705377568,0.128195597088605,0.678312529439134,0.6944809588324,0.71141719699276,0.77059361855168,0.762588542135117,0.744530441424225,0.762582016045572,0.766064053630596,0.771410528712776,0.0161684293932655,0.511596684453202,0.000333333333333338,1001.001001001,5.77315972805081e-15,0,0.404775404393201,0.988544331112601,0.762582016045572,-0.00212319066152537,1,0.0870173106680035,1.84955378420189e-11,1,0.766064053630596,0.00576102982871961,1.27729506390907,-0.096831409899358,1.61612205099952e-13,1,0.0057560417540885,1.27822590403673,-0.0973731952053334,3.07531037672485e-13,1,0.756768078633193,0.833747453832408,2235971,13469532,"","confounded",TRUE,0.001,3000,80,5,5,14
1628015,"min",0.75,0.726356436684426,0.136997357050349,0.727116512824741,0.736349218871417,0.746115491508242,0.777536629831057,0.798747763114326,0.780488027862042,0.798744662038129,0.79922904361626,0.797711317001045,0.00923270604667659,0.514041980862148,0.00100000000000004,1001.001001001,6.66133814775094e-15,0,0.553693689386928,0.979425006121228,0.798744662038129,-0.00397876595635808,1,0.0723882253537031,6.61199199096056e-12,1,0.79922904361626,0.012493243533035,1.28538475102823,-0.134418443909099,5.38982192210824e-14,1,0.0124677133616347,1.2870308226645,-0.13540317790723,1.34330139604325e-13,1,0.780359527598367,0.770060707141116,2181957,13405905,"","confounded",TRUE,0.001,3000,80,5,5,15
1628016,"min",0.75,0.655664689656093,0.125888230842472,0.656870655812616,0.665346224356838,0.673755498929202,0.70889153454634,0.71494421747592,0.699156895368336,0.714927833596888,0.718807436034476,0.719695630574752,0.00847556854422193,0.49803687924727,0,772.92676576564,7.99360577730113e-15,0,0.534181415740978,0.984736514967207,0.714927833596888,-0.00334193795898387,1,0.059263143940795,1.06869979532576e-12,1,0.718807436034476,0.0220692461658635,1.25143023647035,-0.101711181587105,2.49459712146442e-15,1,0.0220370502038039,1.25161017762997,-0.101775777010207,5.59774449016004e-15,1,0.74827202914949,0.714335292754342,2146951,13568530,"","confounded",TRUE,0.001,3000,80,5,5,16
1628017,"min",0.75,0.672549685454559,0.12588715075978,0.674994059376356,0.68180347207269,0.689068401689704,0.710078934421002,0.746358800219373,0.726363553861125,0.746389820827664,0.74824107539724,0.747475448210435,0.00680941269633362,0.516182529547005,0.000333333333333334,1001.001001001,5.32907051820075e-15,0,0.45498577043387,0.98202043033058,0.746389820827664,0.00301685961848052,1,0.0738401353731048,2.49480314925184e-11,1,0.74824107539724,0.0236732504441874,1.26922183563271,-0.105373670929594,1.22059399624656e-13,1,0.0237069039749828,1.26995305860243,-0.105293010676097,3.53175914439656e-13,1,0.749631040199766,0.698370922366303,2146460,13443528,"","confounded",TRUE,0.001,3000,80,5,5,17
1628018,"min",0.75,0.676904128855769,0.123955073626313,0.675241346472475,0.687161355624309,0.700367220510377,0.732453658811735,0.753400714218152,0.734159234264754,0.753392854248326,0.758933018279416,0.757283403951902,0.0119200091518341,0.525588278686228,0.000333333333333343,1001.001001001,6.21724893790088e-15,0,0.400902008247883,0.985614985922633,0.753392854248326,-0.0014551367769012,1,0.0764887253925567,4.736951571734e-18,1,0.758933018279416,0.0132055419935534,1.25690966912229,-0.0918743263481984,2.78597885502071e-13,1,0.013378346938765,1.25881484572208,-0.0929470839786046,8.1793904982419e-13,1,0.749770600611507,0.769687482836265,2224913,13420040,"","confounded",TRUE,0.001,3000,80,5,5,18
