"cell","selection","primary","estimator","n_reps","mean_est","bias","mc_se_bias","sd","rmse","fail_rate","bias_ok"
"high_dimensional","min",FALSE,"targeted_projection",100,0.713900168515724,-0.0360998314842764,0.00550776432545176,0.0550776432545176,0.0656232363709711,0,FALSE
"high_dimensional","min",FALSE,"targeted_sudo",100,0.705323334736321,-0.0446766652636787,0.00551694086976905,0.0551694086976905,0.0707759241449738,0,FALSE
"high_dimensional","min",FALSE,"oracle_sudo",100,0.752177294451208,0.00217729445120783,0.00278787642157937,0.0278787642157937,0.0278243391724778,0,TRUE
"high_dimensional","min",FALSE,"oracle_orthogonal",100,0.76129374376232,0.0112937437623199,0.00717060637540924,0.0717060637540924,0.0722349682043527,0,TRUE
"high_signal","min",FALSE,"direct",100,0.624991841689617,-0.125008158310383,0.00230696497250221,0.0230696497250221,0.127098097134476,0,FALSE
"high_signal","min",FALSE,"raw_label",100,0.115676196399446,-0.634323803600554,0.000316059283335372,0.00316059283335372,0.634331598824986,0,FALSE
"high_signal","min",FALSE,"index_projection",100,0.625046542885318,-0.124953457114682,0.00231505805376362,0.0231505805376362,0.127058869546159,0,FALSE
"high_signal","min",FALSE,"sudo",100,0.647025864703505,-0.102974135296495,0.0024078522374411,0.024078522374411,0.105724406015822,0,FALSE
"high_signal","min",FALSE,"scaled",100,0.682825112902118,-0.0671748870978823,0.00275327153576209,0.0275327153576209,0.0725460913311487,0,FALSE
"high_signal","min",FALSE,"orthogonal",100,0.714329720058671,-0.0356702799413292,0.00351223761247658,0.0351223761247658,0.0499361027984345,0,FALSE
"high_signal","min",FALSE,"targeted_projection",100,0.728127257713361,-0.0218727422866388,0.00312497105863935,0.0312497105863935,0.0380157312537026,0,TRUE
"high_signal","min",FALSE,"targeted_sudo",100,0.717031725404442,-0.032968274595558,0.00307003546182111,0.0307003546182111,0.0449443409758691,0,FALSE
"high_signal","min",FALSE,"oracle_sudo",100,0.749470588931885,-0.000529411068115034,0.00100643934798174,0.0100643934798174,0.0100279295985995,0,TRUE
"high_signal","min",FALSE,"oracle_orthogonal",100,0.755741682965638,0.00574168296563805,0.00517393057635464,0.0517393057635464,0.0517991614465206,0,TRUE
"randomized","min",TRUE,"direct",100,0.661645611934333,-0.0883543880656671,0.00408012471435582,0.0408012471435582,0.0972347275475358,0,FALSE
"randomized","min",TRUE,"raw_label",100,0.134427773398806,-0.615572226601193,0.000725647778299747,0.00725647778299747,0.61561456778399,0,FALSE
"randomized","min",TRUE,"index_projection",100,0.661477973683851,-0.088522026316149,0.00408476264470392,0.0408476264470392,0.0974063265071128,0,FALSE
"randomized","min",TRUE,"sudo",100,0.684868429701518,-0.0651315702984822,0.00415489162359311,0.0415489162359311,0.0771438316751427,0,FALSE
"randomized","min",TRUE,"scaled",100,0.707007949809893,-0.0429920501901067,0.00433033600219897,0.0433033600219896,0.0608666210566248,0,FALSE
"randomized","min",TRUE,"orthogonal",100,0.725775391453479,-0.0242246085465206,0.00491680283652292,0.0491680283652292,0.0545907659080077,0,FALSE
"randomized","min",TRUE,"targeted_projection",100,0.727368818363148,-0.0226311816368521,0.00464729349749225,0.0464729349749225,0.0514811298497977,0,FALSE
"randomized","min",TRUE,"targeted_sudo",100,0.71917487018375,-0.0308251298162495,0.00453882789901412,0.0453882789901412,0.0546779986756891,0,FALSE
"randomized","min",TRUE,"oracle_sudo",100,0.745188268535284,-0.00481173146471565,0.00226400289316668,0.0226400289316668,0.0230347120801406,0,TRUE
"randomized","min",TRUE,"oracle_orthogonal",100,0.744510655231687,-0.00548934476831331,0.00599381432746187,0.0599381432746187,0.0598897997575717,0,TRUE
"confounded","one_se",TRUE,"direct",100,0.651446571621122,-0.0985534283788784,0.00384406475381717,0.0384406475381717,0.105715111476804,0,FALSE
"confounded","one_se",TRUE,"raw_label",100,0.127135874707426,-0.622864125292574,0.00067801844193434,0.0067801844193434,0.622900658025207,0,FALSE
"confounded","one_se",TRUE,"index_projection",100,0.650901066546964,-0.0990989334530364,0.00385072498931149,0.0385072498931149,0.106247723848169,0,FALSE
"confounded","one_se",TRUE,"sudo",100,0.667109497073969,-0.0828905029260313,0.00388191007384999,0.0388191007384999,0.0914477382533584,0,FALSE
"confounded","one_se",TRUE,"scaled",100,0.68318765164008,-0.0668123483599196,0.00400832307575019,0.0400832307575019,0.0778105945707061,0,FALSE
"confounded","one_se",TRUE,"orthogonal",100,0.727202786436515,-0.0227972135634849,0.00442865139607919,0.0442865139607919,0.0496124511778098,0,FALSE
"confounded","one_se",TRUE,"targeted_projection",100,0.742732015466886,-0.00726798453311431,0.00448847370398882,0.0448847370398882,0.0452472852458808,0,TRUE
"confounded","one_se",TRUE,"targeted_sudo",100,0.721151105718632,-0.0288488942813678,0.004339639898319,0.04339639898319,0.0519295067521218,0,FALSE
"confounded","one_se",TRUE,"oracle_sudo",100,0.754109341592561,0.00410934159256081,0.00202308122741228,0.0202308122741228,0.0205445758277566,0,TRUE
"confounded","one_se",TRUE,"oracle_orthogonal",100,0.764095643820215,0.0140956438202153,0.00614096974759893,0.0614096974759892,0.0627066711710801,0,TRUE
"high_dimensional","one_se",FALSE,"direct",100,0.544420018147897,-0.205579981852103,0.00499581707050093,0.0499581707050093,0.211504112419356,0,FALSE
"high_dimensional","one_se",FALSE,"raw_label",100,0.136516744008848,-0.613483255991152,0.000931042690188695,0.00931042690188695,0.61355319458879,0,FALSE
"high_dimensional","one_se",FALSE,"index_projection",100,0.544716040322351,-0.205283959677649,0.00501734326200319,0.0501734326200319,0.211266901592282,0,FALSE
"high_dimensional","one_se",FALSE,"sudo",100,0.610736824038579,-0.139263175961421,0.00492186794479274,0.0492186794479274,0.147622782121844,0,FALSE
"high_dimensional","one_se",FALSE,"scaled",100,0.661292402110118,-0.0887075978898818,0.00513335840361391,0.0513335840361391,0.102361239758457,0,FALSE
"high_dimensional","one_se",FALSE,"orthogonal",100,0.690356039606745,-0.059643960393255,0.00559985560892549,0.0559985560892549,0.081620352318725,0,FALSE
"high_dimensional","one_se",FALSE,"targeted_projection",100,0.704484922708794,-0.0455150772912058,0.00561005702024588,0.0561005702024588,0.0720237703685043,0,FALSE
"high_dimensional","one_se",FALSE,"targeted_sudo",100,0.687583241151491,-0.0624167588485088,0.00549733624979616,0.0549733624979616,0.0829921783280923,0,FALSE
"high_dimensional","one_se",FALSE,"oracle_sudo",100,0.752177294451208,0.00217729445120783,0.00278787642157937,0.0278787642157937,0.0278243391724778,0,TRUE
"high_dimensional","one_se",FALSE,"oracle_orthogonal",100,0.76129374376232,0.0112937437623199,0.00717060637540924,0.0717060637540924,0.0722349682043527,0,TRUE
"high_signal","one_se",FALSE,"direct",100,0.600756899540124,-0.149243100459876,0.00231649062872724,0.0231649062872724,0.151012416010544,0,FALSE
"high_signal","one_se",FALSE,"raw_label",100,0.115676196399446,-0.634323803600554,0.000316059283335372,0.00316059283335372,0.634331598824986,0,FALSE
"high_signal","one_se",FALSE,"index_projection",100,0.60079566764834,-0.149204332351661,0.00233133937650781,0.0233133937650781,0.150996728368736,0,FALSE
"high_signal","one_se",FALSE,"sudo",100,0.627822297237591,-0.122177702762409,0.00239445162365514,0.0239445162365514,0.124478903881437,0,FALSE
"high_signal","one_se",FALSE,"scaled",100,0.669489794828234,-0.0805102051717664,0.00272232707146721,0.027223270714672,0.084944620433081,0,FALSE
"high_signal","one_se",FALSE,"orthogonal",100,0.702064233397043,-0.0479357666029568,0.0033112933596011,0.033112933596011,0.058166480273725,0,FALSE
"high_signal","one_se",FALSE,"targeted_projection",100,0.72107450494175,-0.0289254950582502,0.00309243683511936,0.0309243683511936,0.0422307667075315,0,FALSE
"high_signal","one_se",FALSE,"targeted_sudo",100,0.708367830309149,-0.0416321696908514,0.00304815861363533,0.0304815861363533,0.051507993317755,0,FALSE
"high_signal","one_se",FALSE,"oracle_sudo",100,0.749470588931885,-0.000529411068115034,0.00100643934798174,0.0100643934798174,0.0100279295985995,0,TRUE
"high_signal","one_se",FALSE,"oracle_orthogonal",100,0.755741682965638,0.00574168296563805,0.00517393057635464,0.0517393057635464,0.0517991614465206,0,TRUE
"randomized","one_se",TRUE,"direct",100,0.600815809059268,-0.149184190940732,0.00410639984650477,0.0410639984650477,0.154678092427075,0,FALSE
"randomized","one_se",TRUE,"raw_label",100,0.134427773398806,-0.615572226601193,0.000725647778299747,0.00725647778299747,0.61561456778399,0,FALSE
"randomized","one_se",TRUE,"index_projection",100,0.600928919977983,-0.149071080022017,0.00413444129992221,0.0413444129992221,0.154642988138222,0,FALSE
"randomized","one_se",TRUE,"sudo",100,0.642832632640587,-0.107167367359413,0.00410987687748639,0.0410987687748638,0.114704238516321,0,FALSE
"randomized","one_se",TRUE,"scaled",100,0.67834026427087,-0.0716597357291305,0.00426735609686839,0.0426735609686839,0.0832942987392254,0,FALSE
"randomized","one_se",TRUE,"orthogonal",100,0.709063906338387,-0.0409360936616126,0.00466988908154945,0.0466988908154944,0.0619252961529924,0,FALSE
"randomized","one_se",TRUE,"targeted_projection",100,0.718706169545982,-0.031293830454018,0.00464879611522449,0.046487961152245,0.0558464238000656,0,FALSE
"randomized","one_se",TRUE,"targeted_sudo",100,0.701770919698397,-0.0482290803016027,0.00455667692439682,0.0455667692439682,0.0661937409539463,0,FALSE
"randomized","one_se",TRUE,"oracle_sudo",100,0.745188268535284,-0.00481173146471565,0.00226400289316668,0.0226400289316668,0.0230347120801406,0,TRUE
"randomized","one_se",TRUE,"oracle_orthogonal",100,0.744510655231687,-0.00548934476831331,0.00599381432746187,0.0599381432746187,0.0598897997575717,0,TRUE
