"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1612001,"min",0.75,0.716289565535082,0.143851984467399,0.715895022228244,0.744589261620941,0.772841589175848,0.821935419413979,0.790818050162772,0.782885908566377,0.0286942393926969,0.496119943119695,0,1549.58070270198,1.73194791841524e-14,0,0.311696467284805,0.982086535211641,0.77539991993229,0.861908634839633,2199265,13533205,"randomized",TRUE,1e-05,3000,80,5,5,1
1612002,"min",0.75,0.65272847368723,0.134926030583999,0.649524966612631,0.673569915494095,0.6959268342633,0.721309626614023,0.72016147324151,0.710617708115316,0.0240449488814644,0.48181075247911,0,96.2733620929235,1.28785870856518e-14,0,0.399624392744006,0.981687296339619,0.744856010912418,0.74553482407342,2243241,13489953,"randomized",TRUE,1e-05,3000,80,5,5,2
1612003,"min",0.75,0.61776226741516,0.12648197250395,0.623365614591937,0.642791546829719,0.660698925562836,0.699224569251556,0.672929257276412,0.667420446046929,0.0194259322377824,0.479662217666021,0,1002.65469296116,9.76996261670138e-15,0,0.352119340369041,0.983811026481797,0.725803198256262,0.743560683841506,2228390,13466669,"randomized",TRUE,1e-05,3000,80,5,5,3
1612004,"min",0.75,0.623558816289095,0.125784752478965,0.621837930912033,0.644046703392883,0.664698171281852,0.6827753720807,0.688467846564399,0.679419685036051,0.0222087724808504,0.48183275947073,0,584.061983422037,7.54951656745106e-15,0,0.358705108886269,0.975825835774328,0.72443823805985,0.694615994846736,2190653,13527596,"randomized",TRUE,1e-05,3000,80,5,5,4
1612005,"min",0.75,0.624265185766008,0.125225986774319,0.624954708991975,0.641824176764249,0.657659672139063,0.694366232588852,0.672168477540889,0.668587370106024,0.0168694677722742,0.484192423749112,0,185.3356753297,7.7715611723761e-15,0,0.350726860087334,0.979541723527649,0.724726240130687,0.751724739073212,2225967,13449629,"randomized",TRUE,1e-05,3000,80,5,5,5
1612006,"min",0.75,0.659051485692685,0.138020258431976,0.663598367309651,0.687317933019759,0.709178239880196,0.715949994660851,0.723272634342419,0.715684345981717,0.0237195657101079,0.479604387366452,0,3477.74775714217,1.02140518265514e-14,0,0.366504177814939,0.979730134389452,0.747762268937821,0.733102008450507,2312741,13493346,"randomized",TRUE,1e-05,3000,80,5,5,6
1612007,"min",0.75,0.655747396626455,0.134945112786853,0.657739989894394,0.680298877667803,0.701001592801308,0.720482760774514,0.716432531952058,0.710220613903803,0.0225588877734085,0.478547112044171,0,593.669513240851,7.105427357601e-15,0,0.405080760264467,0.975228574049409,0.75051559912139,0.739885476289237,2243992,13452140,"randomized",TRUE,1e-05,3000,80,5,5,7
1612008,"min",0.75,0.690444698666736,0.139324156431838,0.694453139288019,0.72199102154731,0.749564685783376,0.786184571558844,0.766341349801666,0.758747970791904,0.0275378822592908,0.500324632305303,0,340.387401041766,7.7715611723761e-15,0,0.353443730029652,0.980531661395298,0.758233698974637,0.801889459372537,2311316,13374699,"randomized",TRUE,1e-05,3000,80,5,5,8
1612009,"min",0.75,0.698704517710381,0.139537540603228,0.701326810970165,0.728169511190814,0.755098038750497,0.773385698735717,0.774154186418877,0.76547789711221,0.0268427002206488,0.500798078661927,0,7419.14274481976,8.21565038222616e-15,0,0.322559914009914,0.98201085633996,0.763681369957853,0.78692711633006,2169465,13617874,"randomized",TRUE,1e-05,3000,80,5,5,9
1612010,"min",0.75,0.678563197801859,0.137924625694223,0.677830247109662,0.700552193008882,0.722514803430545,0.727967813316625,0.745098702367113,0.736481202035818,0.0227219458992201,0.491503379018651,0,2544.03809879772,8.88178419700125e-15,0,0.316193262098277,0.984666282676031,0.750654666466856,0.729753436905355,2239014,13484796,"randomized",TRUE,1e-05,3000,80,5,5,10
1612011,"min",0.75,0.641377822937055,0.130757892530966,0.636440285822032,0.661218015410024,0.684021301126136,0.679061866595194,0.70431754804789,0.69666890053952,0.0247777295879916,0.479251768176234,0,223.409678632134,6.43929354282591e-15,0,0.39247591349506,0.971560227480066,0.731664737621656,0.694045018610597,2243234,13494451,"randomized",TRUE,1e-05,3000,80,5,5,11
1612012,"min",0.75,0.716476420542161,0.148038185050269,0.716571283627676,0.739727549484716,0.762174486204876,0.746685046708534,0.789739397203945,0.778672531988175,0.02315626585704,0.492222814442921,0,797.087632441007,7.7715611723761e-15,0,0.431295065533135,0.970853113194432,0.782184657391633,0.702452832099283,2209294,13495623,"randomized",TRUE,1e-05,3000,80,5,5,12
