"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","error","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1613069,"min",0.75,0.668409991904501,0.129372818449809,0.668336753291947,0.687870213150357,0.707703316876798,0.72212902534738,0.729526739834401,0.72147290239423,0.0195334598584099,0.503805816926146,0.000333333333333335,1001.001001001,9.32587340685131e-15,0,0.330247416507902,0.979112702750664,0.73426327099886,0.72684048010303,2309801,13395523,NA,"randomized",TRUE,0.001,3000,80,5,5,69
1613069,"one_se",0.75,0.606839272081617,0.129372818449809,0.606312971037876,0.64454522249578,0.679120563229078,0.707669441454289,0.727810824000545,0.709161575088926,0.0382322514579042,0.474886473961376,0,408.388746998107,3.77475828372553e-15,0,0.416943894675334,0.98269252518835,0.73426327099886,0.72684048010303,2309801,13395523,NA,"randomized",TRUE,0.001,3000,80,5,5,69
1613070,"min",0.75,0.608340483229025,0.125774204428292,0.611261125930679,0.63371608334076,0.653898480828829,0.675587802310592,0.669432180269963,0.66218926875975,0.0224549574100812,0.47335013009788,0.000333333333333327,1001.001001001,8.43769498715119e-15,0,0.345007142893855,0.980662315491965,0.713524075542724,0.690181716171744,2289186,13472336,NA,"randomized",TRUE,0.001,3000,80,5,5,70
1613070,"one_se",0.75,0.554917310605378,0.125774204428292,0.5577115036519,0.597108506475029,0.629098766202758,0.663371790464968,0.664520935733585,0.649159457107507,0.0393970028231287,0.44812279648542,0,310.93519837563,3.99680288865056e-15,0,0.44416320766015,0.985234116878438,0.713524075542724,0.690181716171744,2289186,13472336,NA,"randomized",TRUE,0.001,3000,80,5,5,70
1613071,"min",0.75,0.668967719230578,0.133974549626563,0.665189818587638,0.689638275808567,0.712918567366677,0.737438910448268,0.734982119714644,0.727721898478115,0.0244484572209293,0.487762452476728,0,240.581009958613,5.77315972805081e-15,0,0.32438291816123,0.981608390024624,0.750617876919499,0.778584549998963,2259916,13413338,NA,"randomized",TRUE,0.001,3000,80,5,5,71
1613071,"one_se",0.75,0.598387353015267,0.133974549626563,0.59517298200635,0.643197027007435,0.683498625015541,0.722205242806309,0.725871861367186,0.708479086968821,0.0480240450010858,0.456284229981904,0,135.456555842868,3.33066907387547e-15,0,0.450223044700063,0.984939361164511,0.750617876919499,0.778584549998963,2259916,13413338,NA,"randomized",TRUE,0.001,3000,80,5,5,71
1613072,"min",0.75,0.693042611903253,0.139710661587968,0.693882405016367,0.714258267829888,0.734074425079843,0.722471393278187,0.763036993408504,0.751732515874896,0.0203758628135211,0.493037105839878,0,343.372020741871,7.99360577730113e-15,0,0.375133991918117,0.976822753187427,0.759506060267007,0.711887572875833,2299235,13394810,NA,"randomized",TRUE,0.001,3000,80,5,5,72
1613072,"one_se",0.75,0.634643944845604,0.139710661587968,0.635533496201803,0.675622554088796,0.71074354011777,0.718588672461473,0.756145146921817,0.737085453053232,0.040089057886993,0.46697201863378,0,120.611696987642,4.2188474935756e-15,0,0.478497922675987,0.979070703135345,0.759506060267007,0.711887572875833,2299235,13394810,NA,"randomized",TRUE,0.001,3000,80,5,5,72
1613073,"min",0.75,0.654725554125499,0.134831922827021,0.651507955195661,0.673640739211556,0.693911037190992,0.685108937962179,0.715112371260732,0.70578173369237,0.0221327840158946,0.478038317631452,0,244.817682967302,5.99520433297585e-15,0,0.436721983482914,0.977065219109843,0.746081790092279,0.622801326236394,2139157,13514988,NA,"randomized",TRUE,0.001,3000,80,5,5,73
1613073,"one_se",0.75,0.590610451683994,0.134831922827021,0.588705005535024,0.631389831919543,0.666528717485797,0.679922140771019,0.702884672459733,0.685975381161271,0.0426848263845182,0.45151901246347,0,79.421349997123,3.33066907387547e-15,0,0.567307901174851,0.977698856238817,0.746081790092279,0.622801326236394,2139157,13514988,NA,"randomized",TRUE,0.001,3000,80,5,5,73
