"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","affine_calibrated_sudo","pit_affine_scale","scale_calibrated_sudo","tilt_calibrated_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","affine_calibrated_sudo_mean_intercept","affine_calibrated_sudo_mean_slope","affine_calibrated_sudo_mean_tilt","affine_calibrated_sudo_max_score_error","affine_calibrated_sudo_convergence_rate","pit_affine_scale_theta","pit_affine_scale_intercept","pit_affine_scale_slope","pit_affine_scale_tilt","pit_affine_scale_score_error","pit_affine_scale_converged","scale_calibrated_sudo_mean_intercept","scale_calibrated_sudo_mean_slope","scale_calibrated_sudo_mean_tilt","scale_calibrated_sudo_max_score_error","scale_calibrated_sudo_convergence_rate","tilt_calibrated_sudo_mean_intercept","tilt_calibrated_sudo_mean_slope","tilt_calibrated_sudo_mean_tilt","tilt_calibrated_sudo_max_score_error","tilt_calibrated_sudo_convergence_rate","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1630001,"min",0.75,0.665653997207527,0.126268990802083,0.664928503800974,0.67329759000794,0.681799975044485,0.72119079915551,0.725131472815579,0.708289730144083,0.725126200378099,0.728091593135348,0.729238135451526,0.789805802909885,0.757719555100305,0.707545789154278,0.00836908620696564,0.503950421028962,0.00133333333333333,1001.001001001,7.105427357601e-15,0,0.546217951482367,0.980493179357817,0.725126200378099,0.00312226527727371,1,0.0594722031705716,3.37977497840332e-12,1,0.728091593135348,0.0110490249929836,1.24811260847869,-0.102719553663604,1.93563683599981e-14,1,0.0115791669400198,1.25030940182412,-0.104112866278151,9.11482000987007e-14,1,0.789805802909885,0.00887264497585494,1.18651101957351,0,9.12040813242735e-15,1,0.00882054882239916,1.18732198678933,0,4.25772380315455e-14,1,0.00338421355839926,1,0.0599264621417453,6.83553917172712e-12,1,0.755268396980414,0.756574185105176,2278791,13476101,"confounded",0.001,3000,80,5,5,1
1630002,"min",0.75,0.645481827986383,0.120776519837425,0.645687653054579,0.657775900343753,0.67033300824461,0.687300991327394,0.717651497755135,0.699041535424778,0.717662481692099,0.720855089012544,0.721493926339759,0.78139153478114,0.752688631031429,0.698571884804683,0.0120882472891742,0.509512149613335,0.002,1001.001001001,8.88178419700125e-15,0,0.422087913125373,0.988044978910744,0.717662481692099,0.00182575023926978,1,0.0721806537057162,2.25558893044801e-11,1,0.720855089012544,0.0047272677946787,1.26256854188086,-0.0941099613588177,1.66385246321473e-12,1,0.00506349588161708,1.26375473641717,-0.0936188665880682,5.6005935074784e-12,1,0.78139153478114,0.00424348836187418,1.21055543456387,0,9.496234909534e-13,1,0.00452469290842516,1.21199084272334,0,3.04962869771922e-12,1,0.0018493452626961,1,0.0730668023746406,2.30042644192944e-11,1,0.730499787020249,0.706678299829469,2276653,13491732,"confounded",0.001,3000,80,5,5,2
1630003,"min",0.75,0.704597767716846,0.137673351415092,0.707200452873175,0.720069151712793,0.733093532477208,0.773405215451771,0.769437951015923,0.75467229533244,0.769445682289176,0.772741632706653,0.779101932077371,0.832116263713963,0.806676409821889,0.756834126184763,0.0128686988396182,0.503006245822777,0.000333333333333342,1001.001001001,5.10702591327572e-15,0,0.526685731209614,0.976467369482162,0.769445682289176,-0.00183526921326258,1,0.06484791457233,1.31945654402443e-12,1,0.772741632706653,0.00695151498164232,1.25306544181495,-0.110165480399285,4.15667500419659e-16,1,0.00662170590668824,1.25569256539554,-0.111260969385845,3.47240754668595e-15,1,0.832116263713963,0.0040111888302427,1.18098055633972,0,2.49874195408969e-16,1,0.00378197348840919,1.18263397183839,0,1.49287989377929e-15,1,-0.00171151808030751,1,0.0650281965263277,2.16766808206851e-12,1,0.773859259871278,0.797475222027424,2180318,13587931,"confounded",0.001,3000,80,5,5,3
1630004,"min",0.75,0.684430427550088,0.130437258587566,0.685943414487896,0.699364261035141,0.713083198455692,0.757729557336307,0.755338231117966,0.739241754349776,0.755324653326649,0.759884620038097,0.764183716930182,0.821675152906958,0.795092199133128,0.738938620235305,0.0134208465472457,0.505491769456571,0,818.039729746293,6.43929354282591e-15,0,0.473558010260169,0.987421463873721,0.755324653326649,-0.000969344447425119,1,0.0708942257765605,6.82147405228761e-12,1,0.759884620038097,0.00924283413684347,1.26495623681962,-0.105889917960505,4.76809702831815e-14,1,0.00950075850155565,1.2686633487894,-0.106676006810418,4.2608065224196e-13,1,0.821675152906958,0.00747155760990549,1.2005239975203,0,2.34858058926572e-14,1,0.00772958625640918,1.20333954394177,0,3.17497879838887e-13,1,-0.000859358202604289,1,0.0716232278462327,3.49200435234565e-11,1,0.761683582139327,0.788037415687351,2234781,13440553,"confounded",0.001,3000,80,5,5,4
1630005,"min",0.75,0.612584931479236,0.11654055843297,0.612088042670049,0.619495198951719,0.626827887004359,0.647149795021088,0.678510445481987,0.660790265434819,0.678515938037514,0.681351600238639,0.674610066287371,0.737475704157683,0.702884947231473,0.655434553198115,0.00740715628166966,0.49747391399325,0,556.20162996729,6.88338275267597e-15,0,0.464006318950717,0.988948385110147,0.678515938037514,0.000680070560383289,1,0.0659310065582777,2.11996838602365e-12,1,0.681351600238639,0.0213513055126999,1.25599784508452,-0.0880537536305316,1.46103869743304e-14,1,0.0216443849510634,1.25676308158683,-0.0880563572242023,3.9749685024996e-14,1,0.737475704157683,0.0175179334458138,1.20387503227816,0,7.79791046549387e-15,1,0.017841024210348,1.20455699150621,0,2.34403237560817e-14,1,0.000801509580142282,1,0.0664034031052872,5.94634619321965e-12,1,0.72006663439427,0.633462205232989,2176680,13445183,"confounded",0.001,3000,80,5,5,5
1630006,"min",0.75,0.6230482928034,0.11882157844934,0.621279702859464,0.635037389703586,0.64891310291947,0.694846423585351,0.693511154520992,0.678739629870933,0.693517696287842,0.698205012774961,0.695438280492556,0.749459797877098,0.720489114074408,0.67195654443828,0.0137576868441218,0.502135574549378,0.00100000000000001,1001.001001001,4.88498130835069e-15,0,0.441257539841833,0.991149727987236,0.693517696287842,0.00172503833082737,1,0.0704694034844419,6.12374077372616e-12,1,0.698205012774961,0.00734972936258033,1.24707589023706,-0.078783491633521,8.06738379803088e-14,1,0.00760149496561113,1.24885977359697,-0.0794780736394198,6.36584858900354e-13,1,0.749459797877098,0.00632548928028013,1.20289198531451,0,5.26109526314637e-14,1,0.00667735499490504,1.2037415281274,0,3.37504468816974e-13,1,0.0015178898427845,1,0.0706467230467894,1.75405057145639e-11,1,0.73004468727251,0.740041834500731,2284887,13510943,"confounded",0.001,3000,80,5,5,6
1630007,"min",0.75,0.654627257050138,0.125754608783303,0.653864879259406,0.664047921547627,0.674292075865443,0.696527094492529,0.72106422830375,0.704647826228496,0.721078883158768,0.722674905231583,0.717663785705622,0.781618069465208,0.746627488519461,0.69927714030048,0.0101830422882213,0.501495849645287,0.000333333333333336,1001.001001001,5.10702591327572e-15,0,0.499973731036045,0.983999750996132,0.721078883158768,0.00100894673987137,1,0.0664516261086297,2.22001676301412e-12,1,0.722674905231583,0.025438965467101,1.25635699882334,-0.0997706307838842,5.72756656917287e-15,1,0.0254641074714041,1.2575520996227,-0.100167750145987,2.40829578501689e-14,1,0.781618069465208,0.0202109995842539,1.19398949714882,0,2.43997414865286e-15,1,0.0204387611077618,1.19493139390099,0,1.39902904076431e-14,1,0.000789648629352672,1,0.066437200075982,5.19466932432285e-12,1,0.7453846508879,0.695429468428041,2160877,13353649,"confounded",0.001,3000,80,5,5,7
1630008,"min",0.75,0.602639849192362,0.112242264838137,0.600677522267665,0.614767473069356,0.628993534619048,0.66744106300682,0.670611681397811,0.653601556285602,0.670612254562886,0.678555809287704,0.678425499882535,0.733945967115146,0.706088376199188,0.651560902195947,0.014089950801691,0.502403423658528,0.00133333333333332,1001.001001001,5.32907051820075e-15,0,0.387474058994478,0.990834830452579,0.670612254562886,-0.000460549011893251,1,0.0679724053705239,8.42212225885911e-12,1,0.678555809287704,0.0105847250418147,1.2585598481929,-0.0799025078268279,6.13646022884495e-13,1,0.0104375551882866,1.25917219718996,-0.0797821885616693,1.51575289356979e-12,1,0.733945967115146,0.0086299838000637,1.21788489111491,0,3.93178230713905e-13,1,0.00865848968106826,1.2183322085691,0,1.07662193974771e-12,1,-0.000413772082140515,1,0.0683927934461246,2.21848204621603e-11,1,0.713411207443194,0.708933358293383,2191835,13506070,"confounded",0.001,3000,80,5,5,8
1630009,"min",0.75,0.626040899489499,0.116857138651575,0.626728698143208,0.635212185721249,0.643714292826301,0.694984633264295,0.688237652158382,0.673407495614909,0.688238158488599,0.693464107654222,0.695802340671164,0.755010321552919,0.727158560975138,0.671030884459358,0.0084834875780404,0.500548097589732,0.00066666666666668,1001.001001001,4.44089209850063e-15,0,0.46462823616454,0.99084230372049,0.688238158488599,-0.000972730964009994,1,0.0621972589990996,3.74851201930445e-12,1,0.693464107654222,0.0188470145949364,1.26044627811778,-0.0956268140568274,7.91535725852555e-14,1,0.0189212598225829,1.26131694760299,-0.0955230816330686,4.59023559902979e-13,1,0.755010321552919,0.014482884220599,1.20600798153697,0,4.69024818983144e-14,1,0.0146830913241905,1.20691815466667,0,2.95968064871014e-13,1,-0.000993641914179466,1,0.0626569395101309,7.8583760794911e-12,1,0.727255535840214,0.732825215962088,2209500,13494417,"confounded",0.001,3000,80,5,5,9
1630010,"min",0.75,0.7450702426168,0.136312803160105,0.743985829110852,0.756419099465927,0.770616022542683,0.819473936273302,0.825921198864435,0.805009810719956,0.826009341530544,0.834735173850647,0.836818484265404,0.910108599463283,0.874664358050043,0.803659249271523,0.0124332703550751,0.53311377978149,0.000333333333333345,1001.001001001,6.66133814775094e-15,0,0.456925904067938,0.982412756139651,0.826009341530544,0.00544462927320675,1,0.080939098913744,2.07241631263363e-18,1,0.834735173850647,0.0225598550156374,1.30254037105804,-0.135748896431744,6.13556020804632e-13,1,0.0226310405607914,1.30317950005799,-0.136013238836234,1.50710610657967e-12,1,0.910108599463283,0.0189711881980267,1.22150711088238,0,3.45894572243803e-13,1,0.0188630632644208,1.2217119287953,0,7.87864218310119e-13,1,0.00547311958354153,1,0.0811448870729435,7.40148683083438e-18,1,0.789047981928335,0.860539443900187,2271364,13542707,"confounded",0.001,3000,80,5,5,10
1640001,"min",0.75,0.632718645640871,0.115045295962331,0.630895378163009,0.653201967534783,0.691467501541923,0.734018110870364,0.742682052778735,0.731666178893757,0.742686534344247,0.752694535623597,0.754175562444616,0.794631974137046,0.774758936186823,0.730029193785573,0.0223065893717737,0.631735060165662,0,490.536300104568,5.55111512312578e-15,0,0.513281125230519,0.990154328837171,0.742686534344247,0.00226326536970303,1,0.109967888703376,2.07820427533534e-14,1,0.752694535623597,0.0350179414755798,1.59904582987136,-0.259051576170289,5.73011919395109e-12,1,0.0355034769489215,1.60355594401127,-0.260858309507303,1.76158794958544e-11,1,0.794631974137046,0.0161984794048401,1.25590099108297,0,2.41404999693865e-12,1,0.0162818015344584,1.25779871580101,0,6.78592700550003e-12,1,0.00233279824241097,1,0.110521359670496,7.37806112501479e-14,1,0.753282734688885,0.78826440942353,2204746,13539522,"high_signal",0.001,3000,80,5,5,1
1640002,"min",0.75,0.599800038171483,0.113800972669655,0.603021359473224,0.623989627924577,0.655021211173293,0.619167386098366,0.691514000195522,0.681324322636305,0.691518604841631,0.697245601674979,0.698707878233675,0.725201957552087,0.713328290215637,0.683656754862275,0.0209682684513531,0.596762918242608,0,244.062582371314,6.66133814775094e-15,0,0.535676823602046,0.982374965425955,0.691518604841631,0.00329908079048208,1,0.0917185666701481,2.93987056920741e-16,1,0.697245601674979,0.0186879844048139,1.36479115959758,-0.121356187947753,1.35305100457117e-13,1,0.0190286855939371,1.36681043204002,-0.122236029708811,3.99895672131834e-13,1,0.725201957552087,0.0121213772401079,1.20907287662551,0,6.77098377366292e-14,1,0.0123653055341085,1.20996218798109,0,1.81682816939125e-13,1,0.00346869708717259,1,0.0920541158474497,1.40665257220007e-15,1,0.730316258283099,0.543168428545147,2199707,13477020,"high_signal",0.001,3000,80,5,5,2
1640003,"min",0.75,0.651500389105781,0.119122232876138,0.650847744220939,0.676643321802165,0.721734524648355,0.760110256802782,0.768579174255248,0.75728371804951,0.768578880389664,0.783487740769199,0.785408147676404,0.821728525466759,0.80411002027808,0.75865504581965,0.0257955775812256,0.63610171846302,0.000333333333333342,1001.001001001,6.21724893790088e-15,0,0.487460829581253,0.985681145109824,0.768578880389664,-0.00019821475886901,1,0.117078491283883,4.32989940198543e-14,1,0.783487740769199,0.0157355660544718,1.59025691897342,-0.252565260720143,6.70662843778776e-12,1,0.0162261845443263,1.59281586791433,-0.253789680510325,1.9984578066475e-11,1,0.821728525466759,0.00678031709844718,1.26128631572212,0,3.42353434490406e-12,1,0.00704723053212476,1.26186451432552,0,8.13055844872679e-12,1,-4.23968562641807e-05,1,0.117193258353008,5.59998343992637e-14,1,0.76207070027989,0.809816646952381,2244129,13462347,"high_signal",0.001,3000,80,5,5,3
1640004,"min",0.75,0.622402692754763,0.115866451807957,0.622476225394225,0.647807850816253,0.688312663478349,0.731794820317558,0.728525359384086,0.71902692002734,0.728528865312834,0.73892015714335,0.740474208110691,0.776420286520604,0.760273590492422,0.719654921594225,0.0253316254220273,0.615233962237456,0,456.512937129527,4.44089209850063e-15,0,0.493501845534787,0.99188347045619,0.728528865312834,-0.00126331916361869,1,0.106126172558071,2.08070597788416e-15,1,0.73892015714335,-0.00397400264415159,1.49876360955622,-0.193914349247287,7.32982859593297e-13,1,-0.00400350351763013,1.49967107250206,-0.194041610851607,1.25118776450606e-12,1,0.776420286520604,-0.00312634672879879,1.24745650293407,0,3.90481128912749e-13,1,-0.00328410428617029,1.24809142652238,0,7.62867084317757e-13,1,-0.00118928366289063,1,0.106497136208089,6.2285362053179e-15,1,0.747726423735636,0.769561530314617,2303714,13502828,"high_signal",0.001,3000,80,5,5,4
1640005,"min",0.75,0.57758036159839,0.113752100976265,0.575901628220014,0.600242378935348,0.634414683535175,0.664852733035925,0.662399198895325,0.653672505617025,0.662398844988022,0.673690851950317,0.673157202510052,0.705997334509383,0.687842895320026,0.653659311528801,0.0243407507153333,0.584011626392945,0.000333333333333335,1001.001001001,5.10702591327572e-15,0,0.634941943821417,0.982981108089552,0.662398844988022,0.0004267437127446,1,0.0848184833896314,6.21724893790088e-18,1,0.673690851950317,-0.0130333816475777,1.49529454464203,-0.189961911840126,1.01660901918876e-14,1,-0.0128190889127199,1.49928025156773,-0.191775970223512,4.52358521011812e-14,1,0.705997334509383,-0.00596076841235427,1.22233611363727,0,2.80531153862285e-15,1,-0.00614453907903475,1.22320599025385,0,1.34812531508525e-14,1,0.000493465953635544,1,0.0850972818992321,8.40993941153556e-17,1,0.737801689658093,0.723520220557639,2327493,13506861,"high_signal",0.001,3000,80,5,5,5
1640006,"min",0.75,0.639809773869865,0.119250471720056,0.641389659516632,0.660420416077173,0.69134515467484,0.695364062211382,0.74612371713787,0.732324575269829,0.746132464812672,0.755009077900035,0.751841072727184,0.79419391854892,0.770841455775475,0.731458587827999,0.0190307565605408,0.619045782645719,0,589.96602226345,4.2188474935756e-15,0,0.537105724721895,0.985274158178841,0.746132464812672,-0.0012812595829689,1,0.106322690942808,1.70456241714116e-15,1,0.755009077900035,0.0182292053070493,1.56139624386942,-0.243987499811313,5.11779655691195e-13,1,0.0180929269244779,1.56293676475451,-0.244984728099927,9.12685112671359e-13,1,0.79419391854892,0.00608076831542848,1.24129694634902,0,2.2852534679411e-13,1,0.00607406040119444,1.24141942866242,0,4.3387978395278e-13,1,-0.00121654971701303,1,0.106358266937915,3.64967315628443e-15,1,0.753543524720777,0.708929401345436,2238340,13461327,"high_signal",0.001,3000,80,5,5,6
