"replication","seed","rao_blackwell","rao_blackwell_se","ci_lo","ci_hi","direct_ordinal","dml_equal","dml_middle","coding_difference","coding_difference_se","oracle_dml_equal","oracle_dml_middle","oracle_coding_difference","oracle_latent_plr","thresholds_ordered","all_boot_thresholds_ordered","min_threshold_gap","min_boot_threshold_gap","max_contrast_spread","max_probability_error","backfit_iterations","max_condition_number","min_category_frequency","bootstrap_success","error","config","n","p","n_folds","bootstrap_reps"
28,194028,0.980911357587349,0.0625069858883697,0.858399916463991,1.10342279871071,0.911254841030248,1.28846706930876,1.46721257195786,0.178745502649099,NA,1.25394898380459,1.43298405144545,0.179035067640853,0.952965868264917,1,1,1.01612648699503,0.925959029330762,5.07978798896289e-16,2.22044604925031e-16,0,NA,0.166666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
29,194029,1.07099880012362,0.0616558257323121,0.950155602251212,1.19184199799603,1.00344024369179,1.45076105255751,1.66311877967377,0.212357727116253,NA,1.38832939911666,1.58126401972531,0.192934620608652,0.978984228245353,1,1,0.963223809299617,0.897645120975923,4.97975942025355e-16,2.22044604925031e-16,0,NA,0.165666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
30,194030,0.896023992949161,0.0753215939598236,0.748396381529757,1.04365160436856,0.8321815412685,1.21551211151988,1.38501819160804,0.169506080088153,NA,1.20955284059653,1.38545602834888,0.175903187752348,0.933340974918524,1,1,0.979454590670081,0.882000860873256,4.66351918329913e-16,2.22044604925031e-16,0,NA,0.170333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
31,194031,1.03099986364305,0.0669698696461761,0.899741331087198,1.16225839619889,1.00499503316674,1.36549906330677,1.57461263787882,0.209113574572048,NA,1.41273465361687,1.63090370949778,0.21816905588091,1.05123916716921,1,1,1.01561145675093,0.904693371450082,5.23774644921386e-16,2.22044604925031e-16,0,NA,0.167333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
32,194032,0.934032662640341,0.0722627517869225,0.792400271714216,1.07566505356647,0.876093962142785,1.25552578343395,1.4394952581774,0.183969474743442,NA,1.26181090605639,1.4311530530644,0.169342147008012,0.974276727804585,1,1,0.981650393827201,0.905795370418353,4.94305384073635e-16,2.22044604925031e-16,0,NA,0.172333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
33,194033,1.02359488112056,0.0670530992212558,0.89217322159511,1.15501654064601,0.954797438818183,1.36226507403252,1.56160743728173,0.199342363249209,NA,1.33823910645712,1.52152268330723,0.183283576850113,1.00401838755337,1,1,0.969670829732788,0.873253481415885,5.33235939625826e-16,2.22044604925031e-16,0,NA,0.168333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
34,194034,0.930917767411874,0.0786245973019742,0.77681638840104,1.08501914642271,0.847760701858784,1.23110558924475,1.38576885838225,0.154663269137499,NA,1.19454296129723,1.34003419311808,0.145491231820852,0.93290947515897,1,1,0.983589008318679,0.885021963105509,4.9960550955704e-16,2.22044604925031e-16,0,NA,0.165333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
35,194035,0.939510490744599,0.0703888298443281,0.801550919335798,1.0774700621534,0.882016637755663,1.24996966961821,1.3887825889673,0.138812919349088,NA,1.23201488973824,1.36297038082851,0.130955491090268,0.979882803598996,1,1,0.939957352994186,0.798846943155919,4.80307087149683e-16,2.22044604925031e-16,0,NA,0.161333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
36,194036,1.17235106139301,0.0714954251117036,1.03222260311469,1.31247951967133,1.09311135941418,1.57088541305806,1.77660024152102,0.205714828462954,NA,1.5337584377383,1.70875649121484,0.174998053476546,1.16845037842964,1,1,0.991092855324726,0.876467774864262,5.48792312362394e-16,2.22044604925031e-16,0,NA,0.170333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
37,194037,0.95365541622038,0.0700669729840036,0.816326672665992,1.09098415977477,0.877804417903294,1.29743046522581,1.44652770671279,0.149097241486981,NA,1.23684412265574,1.36434425649908,0.127500133843333,0.926000612058858,1,1,1.01096626335031,0.919517656167344,5.21609382881983e-16,2.22044604925031e-16,0,NA,0.176333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
38,194038,1.04199004320739,0.0722337347729616,0.900414524583564,1.18356556183121,1.00994404155636,1.41277114470732,1.62368381269983,0.210912667992514,NA,1.37760713464513,1.58449784568663,0.206890711041493,1.07694264248159,1,1,0.896199905172645,0.811690261865057,5.63299032711077e-16,2.22044604925031e-16,0,NA,0.162333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
39,194039,1.00867085104775,0.0729922795402139,0.865608611999448,1.15173309009605,0.973086177035301,1.29684219288104,1.42370107034876,0.126858877467712,NA,1.32801503418741,1.45085015034486,0.122835116157454,1.00599314803129,1,1,1.04493450972446,0.937903185060867,5.770671277041e-16,2.22044604925031e-16,0,NA,0.168333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
40,194040,0.95457740459771,0.0714411709447843,0.814555282532563,1.09459952666286,0.899535937004665,1.27338834298479,1.45551598523812,0.182127642253328,NA,1.26010531892103,1.4264272059297,0.166321887008672,0.936211073246211,1,1,0.959341497896097,0.889670118953656,5.0198870587263e-16,2.22044604925031e-16,0,NA,0.158333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
41,194041,0.989382648339117,0.0733024962086764,0.845712395793228,1.13305290088501,0.949175840526683,1.31234264495086,1.4755187895577,0.163176144606837,NA,1.32401265333757,1.47861352289198,0.154600869554417,1.02050780127285,1,1,1.05650852967938,0.943144653643778,4.97479826393322e-16,2.22044604925031e-16,0,NA,0.166333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
42,194042,1.08922979623327,0.0728111741473854,0.94652251723232,1.23193707523422,1.0028748774915,1.47439545127314,1.67808689738781,0.20369144611467,NA,1.40893332951107,1.6068280749587,0.197894745447623,1.03652795540619,1,1,0.922389675712237,0.856141866411221,5.35315741000888e-16,2.22044604925031e-16,0,NA,0.162666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
43,194043,1.23328122751498,0.0744447736124186,1.0873721523974,1.37919030263256,1.15696658156861,1.61652597679235,1.81980412653843,0.203278149746072,NA,1.56921252958179,1.77794771473159,0.208735185149798,1.18354347353685,1,1,1.01035097157326,0.89965548565917,5.54388191346488e-16,2.22044604925031e-16,0,NA,0.171,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
44,194044,0.902680546487055,0.0714918926241687,0.76255901175708,1.04280208121703,0.863950208698226,1.25045358020533,1.50259043917062,0.252136858965287,NA,1.27728139273511,1.5253072887476,0.248025896012491,0.941446778925329,1,1,0.951705310158915,0.874244436115438,5.15697817342158e-16,2.22044604925031e-16,0,NA,0.165,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
45,194045,1.088400453096,0.0686857716510441,0.95377881440961,1.22302209178239,1.05823234891067,1.43501904934032,1.62158605082647,0.186567001486142,NA,1.46962757344613,1.66690816513135,0.197280591685222,1.01288462336769,1,1,0.964048038416363,0.846199918528393,5.86914103150748e-16,2.22044604925031e-16,0,NA,0.157666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
