"arm","sudo","sudo_mi","T_U_plug","T_W_plug","T_U_os","T_W_os","PL_OS","B_total","B_X","B_D","B_D_first","B_X_first","direct_treat_err","mean_lambda","mean_nz","d_selected","min_p","min_q","oracle","n","p","seed"
"pen",1.39792567158859,1.40959193561255,1.26738563238888,1.26692185847741,1.47567932433183,1.48520465746602,1.52430486012757,-0.160132763372059,-0.0398623245545937,-0.120270438817465,-0.12501751833578,-0.0612461880895537,-0.232951311657115,0.0319895922920824,27.8,1,0.32830104552512,0.0900329380972631,1.54431932116648,1000,500,1011013
"unpen",1.56034793425663,1.58647129364306,1.65577184624409,1.65526073227107,1.49841856702459,1.49181038050429,1.5256261371319,0.00397347823533636,-0.0768650290494477,0.0808385072847841,0.0827004949016235,-0.0963557599090393,0.155406247353804,0.0368638438180145,14.8,1,0.325597434598161,0.0962072456005615,1.54431932116648,1000,500,1011013
"pen",1.7542268226989,1.73352939176131,1.59832230629534,1.59840259666346,1.83782488922335,1.86425758493429,1.89352001802554,-0.0288165730612942,-0.0793036930843895,0.0504871200230954,0.0525523169457074,-0.0912976631270472,0.0978572129048143,0.0311296124115044,25.6,1,0.186021238302222,0.0445085672024448,1.90612340822736,1000,500,1011014
"unpen",1.94456475696325,1.93257576610471,2.02333838820594,2.02350408600763,1.86490558761896,1.86943806604977,1.89885699129323,0.16192623254672,-0.108704148470047,0.270630381016767,0.280418276645753,-0.12326700243429,0.522831986163492,0.0338575818317415,19.8,1,0.19200651426011,0.0397381913184215,1.90612340822736,1000,500,1011014
"pen",1.38885748176102,1.41733932036586,1.23998122358435,1.23978480970953,1.51650383569214,1.52979536645576,1.54202370714157,-0.17796553660227,-0.0454165229863966,-0.132549013615873,-0.139716620909411,-0.0611023977914995,-0.260159661746228,0.0307095810391694,35,1,0.165645044418665,0.0560062291585329,1.51360720515061,1000,500,1011015
"unpen",1.53541348804739,1.56959175323425,1.60243553008741,1.60201220964419,1.50867420393264,1.51521688644649,1.54386017416438,-0.0252654696679428,-0.0778383116212831,0.0525728419533403,0.0551748175649044,-0.0922411383186995,0.1025318250099,0.0339691740498275,30.6,1,0.145268025328272,0.0417396628415151,1.51360720515061,1000,500,1011015
"pen",1.39732058613178,1.40428573833366,1.22661129799638,1.22623914131047,1.5460029809221,1.5627683704209,1.55519062010225,-0.201866354411761,-0.0672214465922194,-0.134644907819541,-0.145761652912388,-0.0815574777339987,-0.272953114504039,0.0353287561783283,15.8,1,0.238309109766629,0.0694432803513838,1.53581162837327,1000,500,1011016
"unpen",1.56560486837787,1.57732629680639,1.62080155573645,1.62040559213579,1.57717214190444,1.58696441293911,1.56638665323296,-0.0340301561187417,-0.0948087453663263,0.0607785892475846,0.064937012343437,-0.109266453109301,0.120838863103108,0.0376715227358576,13.8,1,0.229036693533587,0.0496842755592623,1.53581162837327,1000,500,1011016
"pen",1.56920630069358,1.59303444980956,1.43615724200632,1.43604388131733,1.71592577901006,1.71698979658601,1.74592541728321,-0.11196876840175,-0.0796100241392865,-0.032358744262464,-0.0347812997942844,-0.0950516292503593,-0.063920138928389,0.0374416925896135,10.6,1,0.34091950454522,0.101480425461753,1.71188738368111,1000,500,1011017
"unpen",1.79330337701319,1.82344953431157,1.92823519496452,1.92812443960975,1.73875045064907,1.70974262817013,1.75353857019959,0.106272264964095,-0.117402985139657,0.223675250103752,0.232820052027643,-0.134106303966038,0.427959465294642,0.0422636176066243,6.8,1,0.32609312190529,0.0976317076823055,1.71188738368111,1000,500,1011017
"pen",1.54322325261672,1.56652850466008,1.41375605260147,1.41374765658757,1.69626904350171,1.70882747568597,1.72584121410231,-0.105913754733135,-0.0618416779119908,-0.0440720768211441,-0.0462549685793856,-0.0746433108482061,-0.0862329825831352,0.0324638396158483,25,1,0.240049016577787,0.0419001363167841,1.73869152436504,1000,500,1011018
"unpen",1.72449931652519,1.75398718110739,1.82205891478246,1.82214817669363,1.72653721182843,1.71598708227916,1.72522165176396,0.0742964520232301,-0.0933446892223255,0.167641141245556,0.173799856139832,-0.106458957874377,0.32204051409786,0.0347071127202978,19.6,1,0.233580404420543,0.0376794035107539,1.73869152436504,1000,500,1011018
"pen",1.21779347893768,1.23419571956655,1.04183809208165,1.0419944369121,1.3428294932944,1.356768983202,1.36723311790356,-0.287724602047767,-0.0663553281079763,-0.221369273939791,-0.244042090200239,-0.0867654956799293,-0.458061166911121,0.0417133201783093,7.4,1,0.376774207796832,0.165735286486223,1.33271615118771,1000,500,1011019
"unpen",1.39190813029905,1.40885469874564,1.47878640247289,1.47886638060274,1.36422413018706,1.36138900449988,1.37407844985087,-0.111402069720943,-0.10129294285156,-0.0101091268693827,-0.0110713254615961,-0.120299204929766,-0.020930198437865,0.0471312687190923,5.6,1,0.35443965584419,0.144102376663431,1.33271615118771,1000,500,1011019
"pen",1.13241192145701,1.12798609382543,0.974905722747943,0.975001587518837,1.26461065027773,1.26953242646631,1.28881111004484,-0.284259122051582,-0.019709506587849,-0.264549615463733,-0.281408903457487,-0.0337924077726273,-0.525068813653948,0.0344781575698479,19.2,1,0.193740357921827,0.0683953630381872,1.24092295855811,1000,500,1011020
"unpen",1.30269722404069,1.29744527922644,1.37135075958824,1.37140978859903,1.3061715254493,1.29179869667557,1.29590929428077,-0.116621251324711,-0.0512062934301296,-0.0654149578945812,-0.0687642305336973,-0.0622711313473153,-0.128536080224434,0.0339559408123331,19,1,0.191736866288076,0.0558959623965528,1.24092295855811,1000,500,1011020
"pen",1.34819741672262,1.35370094772054,1.17481088538399,1.17490289220033,1.48345613271806,1.48972513739722,1.5044664482064,-0.212640864222231,-0.0491293330044203,-0.163511531217811,-0.174305011566216,-0.0647551136443344,-0.325411025001855,0.0376623719273644,15.4,1,0.244711902829014,0.0817588676452304,1.4473164838052,1000,500,1011021
"unpen",1.53204286370508,1.5417203438675,1.60629793775662,1.6061698702544,1.50599327206293,1.50249436869013,1.50269019627063,-0.0285692938205535,-0.0826615470175336,0.0540922531969801,0.0567633299397734,-0.0959867376943364,0.106137186889113,0.0380040995215402,15,1,0.227611340888632,0.0727302586582509,1.4473164838052,1000,500,1011021
